RingNumber,IndividualID,GwasID,RoslinName
BD...27028,482596,3205,Titan_EG0035_10120VM_Plate1_D04.CEL
BD...27029,482597,3206,Titan_EG0035_10120VM_Plate1_E04.CEL
BD...27030,482598,3207,Titan_EG0035_10120VM_Plate1_F04.CEL
BD...27031,482599,3208,Titan_EG0035_10120VM_Plate1_G04.CEL
BD...27032,482600,3209,Titan_EG0035_10120VM_Plate1_H04.CEL
BD...27033,482601,3210,Titan_EG0035_10120VM_Plate1_A05.CEL
BD...27034,482602,3211,Titan_EG0035_10120VM_Plate1_B05.CEL
BD...27035,482603,3212,Titan_EG0035_10120VM_Plate1_C05.CEL
BD...27036,482604,3213,Titan_EG0035_10120VM_Plate1_D05.CEL
BD...27037,482605,3214,Titan_EG0035_10120VM_Plate1_E05.CEL
BD...27038,482606,3215,Titan_EG0035_10120VM_Plate1_F05.CEL
BD...27041,482609,3216,Titan_EG0035_10120VM_Plate1_G05.CEL
BD...27042,482610,3217,Titan_EG0035_10120VM_Plate1_H05.CEL
BD...27043,482611,3218,Titan_EG0035_10120VM_Plate1_A06.CEL
BD...27044,482612,3219,Titan_EG0035_10120VM_Plate1_B06.CEL
BD...27045,482613,3220,Titan_EG0035_10120VM_Plate1_C06.CEL
BD...27046,482614,3221,Titan_EG0035_10120VM_Plate1_D06.CEL
BD...27047,482615,3222,Titan_EG0035_10120VM_Plate1_E06.CEL
BD...27048,482616,3223,Titan_EG0035_10120VM_Plate1_F06.CEL
BD...27049,482617,3224,Titan_EG0035_10120VM_Plate1_G06.CEL
BD...27050,482618,3225,Titan_EG0035_10120VM_Plate1_H06.CEL
BD...27051,482619,3226,Titan_EG0035_10120VM_Plate1_A07.CEL
BD...27052,482620,3227,Titan_EG0035_10120VM_Plate1_B07.CEL
BD...27053,482621,3228,Titan_EG0035_10120VM_Plate1_C07.CEL
BD...27054,482622,3229,Titan_EG0035_10120VM_Plate1_D07.CEL
BD...27055,482636,3230,Titan_EG0035_10120VM_Plate1_E07.CEL
BD...27056,482637,3231,Titan_EG0035_10120VM_Plate1_F07.CEL
BD...27058,482639,3232,Titan_EG0035_10120VM_Plate1_G07.CEL
BD...27059,482640,3233,Titan_EG0035_10120VM_Plate1_H07.CEL
BD...27060,482641,3234,Titan_EG0035_10120VM_Plate1_A08.CEL
BD...27061,482642,3235,Titan_EG0035_10120VM_Plate1_B08.CEL
BD...27062,482643,3236,Titan_EG0035_10120VM_Plate1_C08.CEL
BD...27064,482645,3237,Titan_EG0035_10120VM_Plate1_D08.CEL
BD...27065,482646,3238,Titan_EG0035_10120VM_Plate1_E08.CEL
BD...27067,482648,3239,Titan_EG0035_10120VM_Plate1_F08.CEL
BD...27068,482649,3240,Titan_EG0035_10120VM_Plate1_G08.CEL
BD...27069,482650,3241,Titan_EG0035_10120VM_Plate1_H08.CEL
BD...27070,482651,3242,Titan_EG0035_10120VM_Plate1_A09.CEL
BD...27071,482652,3243,Titan_EG0035_10120VM_Plate1_B09.CEL
BD...27072,482653,3244,Titan_EG0035_10120VM_Plate1_C09.CEL
BD...27073,482654,3245,Titan_EG0035_10120VM_Plate1_D09.CEL
BD...27074,482655,3246,Titan_EG0035_10120VM_Plate1_E09.CEL
BD...27075,482656,3247,Titan_EG0035_10120VM_Plate1_F09.CEL
BD...27076,482657,3248,Titan_EG0035_10120VM_Plate1_G09.CEL
BD...27077,482658,3249,Titan_EG0035_10120VM_Plate1_H09.CEL
BD...27078,482659,3250,Titan_EG0035_10120VM_Plate1_A10.CEL
BD...27079,482660,3251,Titan_EG0035_10120VM_Plate1_B10.CEL
BD...27080,482661,3252,Titan_EG0035_10120VM_Plate1_C10.CEL
BD...27081,482662,3253,Titan_EG0035_10120VM_Plate1_D10.CEL
BD...27082,482663,3254,Titan_EG0035_10120VM_Plate1_E10.CEL
BD...27083,482664,3255,Titan_EG0035_10120VM_Plate1_F10.CEL
BD...27084,482665,3256,Titan_EG0035_10120VM_Plate1_G10.CEL
BD...27085,482666,3257,Titan_EG0035_10120VM_Plate1_H10.CEL
BD...27087,482668,3258,Titan_EG0035_10120VM_Plate1_A11.CEL
BD...27088,482669,3259,Titan_EG0035_10120VM_Plate1_B11.CEL
BD...27089,482670,3260,Titan_EG0035_10120VM_Plate1_C11.CEL
BD...27090,482671,3261,Titan_EG0035_10120VM_Plate1_D11.CEL
BD...27091,482672,3262,Titan_EG0035_10120VM_Plate1_E11.CEL
BD...27092,482673,3263,Titan_EG0035_10120VM_Plate1_F11.CEL
BD...27093,482674,3264,Titan_EG0035_10120VM_Plate1_G11.CEL
BD...27094,482675,3265,Titan_EG0035_10120VM_Plate1_H11.CEL
BD...27095,482676,3266,Titan_EG0035_10120VM_Plate1_A12.CEL
BD...27096,482677,3267,Titan_EG0035_10120VM_Plate1_B12.CEL
BD...27097,482678,3268,Titan_EG0035_10120VM_Plate1_C12.CEL
BD...27098,482679,3269,Titan_EG0035_10120VM_Plate1_D12.CEL
BD...27099,482680,3270,Titan_EG0035_10120VM_Plate1_E12.CEL
BD...27100,482681,3271,Titan_EG0035_10120VM_Plate1_F12.CEL
BD...27101,482682,3272,Titan_EG0035_10120VM_Plate1_G12.CEL
BD...27102,482683,3273,Titan_EG0035_10120VM_Plate1_H12.CEL
BD...27103,482684,3274,Titan_EG0036_10120VM_Plate2_A01.CEL
BD...27105,482686,3275,Titan_EG0036_10120VM_Plate2_B01.CEL
BD...27106,482687,3276,Titan_EG0036_10120VM_Plate2_C01.CEL
BD...27107,482688,3277,Titan_EG0036_10120VM_Plate2_D01.CEL
BD...27108,482689,3278,Titan_EG0036_10120VM_Plate2_E01.CEL
BD...27109,482690,3279,Titan_EG0036_10120VM_Plate2_F01.CEL
BD...27110,482691,3280,Titan_EG0036_10120VM_Plate2_G01.CEL
BD...27111,482692,3281,Titan_EG0036_10120VM_Plate2_H01.CEL
BD...27112,482693,3282,Titan_EG0036_10120VM_Plate2_A02.CEL
BD...27113,482694,3283,Titan_EG0036_10120VM_Plate2_B02.CEL
BD...27114,482695,3284,Titan_EG0036_10120VM_Plate2_C02.CEL
BD...27115,482696,3285,Titan_EG0036_10120VM_Plate2_D02.CEL
BD...27116,482697,3286,Titan_EG0036_10120VM_Plate2_E02.CEL
BD...27117,482698,3287,Titan_EG0036_10120VM_Plate2_F02.CEL
BD...27118,482699,3288,Titan_EG0036_10120VM_Plate2_G02.CEL
BD...27119,482700,3289,Titan_EG0036_10120VM_Plate2_H02.CEL
BD...27120,482701,3290,Titan_EG0036_10120VM_Plate2_A03.CEL
BD...27121,482702,3291,Titan_EG0036_10120VM_Plate2_B03.CEL
BD...27122,482703,3292,Titan_EG0036_10120VM_Plate2_C03.CEL
BD...27123,482704,3293,Titan_EG0036_10120VM_Plate2_D03.CEL
BD...27124,482705,3294,Titan_EG0036_10120VM_Plate2_E03.CEL
BD...27125,482706,3295,Titan_EG0036_10120VM_Plate2_F03.CEL
BD...27126,482707,3296,Titan_EG0036_10120VM_Plate2_G03.CEL
BD...27127,482708,3297,Titan_EG0036_10120VM_Plate2_H03.CEL
BD...27128,482709,3298,Titan_EG0036_10120VM_Plate2_A04.CEL
BD...27129,482710,3299,Titan_EG0036_10120VM_Plate2_B04.CEL
BD...27131,482712,3300,Titan_EG0036_10120VM_Plate2_C04.CEL
BD...27132,482713,3301,Titan_EG0036_10120VM_Plate2_D04.CEL
BD...27133,482714,3302,Titan_EG0036_10120VM_Plate2_E04.CEL
BD...27134,482715,3303,Titan_EG0036_10120VM_Plate2_F04.CEL
BD...27135,482716,3304,Titan_EG0036_10120VM_Plate2_G04.CEL
BD...27136,482733,3305,Titan_EG0036_10120VM_Plate2_H04.CEL
BD...27138,482735,3306,Titan_EG0036_10120VM_Plate2_A05.CEL
BD...27141,482738,3307,Titan_EG0036_10120VM_Plate2_B05.CEL
BD...27142,482739,3308,Titan_EG0036_10120VM_Plate2_C05.CEL
BD...27143,482740,3309,Titan_EG0036_10120VM_Plate2_D05.CEL
BD...27145,482742,3310,Titan_EG0036_10120VM_Plate2_E05.CEL
BD...27146,482743,3311,Titan_EG0036_10120VM_Plate2_F05.CEL
BD...27147,482744,3312,Titan_EG0036_10120VM_Plate2_G05.CEL
BD...27148,482745,3313,Titan_EG0036_10120VM_Plate2_H05.CEL
BD...27149,482746,3314,Titan_EG0036_10120VM_Plate2_A06.CEL
BD...27150,482747,3315,Titan_EG0036_10120VM_Plate2_B06.CEL
BD...27151,482748,3316,Titan_EG0036_10120VM_Plate2_C06.CEL
BD...27152,482749,3317,Titan_EG0036_10120VM_Plate2_D06.CEL
BD...27153,482750,3318,Titan_EG0036_10120VM_Plate2_E06.CEL
BD...27154,482751,3319,Titan_EG0036_10120VM_Plate2_F06.CEL
BD...27155,482752,3320,Titan_EG0036_10120VM_Plate2_G06.CEL
BD...27156,482753,3321,Titan_EG0036_10120VM_Plate2_H06.CEL
BD...27157,482754,3322,Titan_EG0036_10120VM_Plate2_A07.CEL
BD...27158,482755,3323,Titan_EG0036_10120VM_Plate2_B07.CEL
BD...27159,482756,3324,Titan_EG0036_10120VM_Plate2_C07.CEL
BD...27160,482757,3325,Titan_EG0036_10120VM_Plate2_D07.CEL
BD...27161,482758,3326,Titan_EG0036_10120VM_Plate2_E07.CEL
BD...27162,482759,3327,Titan_EG0036_10120VM_Plate2_F07.CEL
BD...27163,482760,3328,Titan_EG0036_10120VM_Plate2_G07.CEL
BD...27164,482761,3329,Titan_EG0036_10120VM_Plate2_H07.CEL
BD...27165,482762,3330,Titan_EG0036_10120VM_Plate2_A08.CEL
BD...27166,482763,3331,Titan_EG0036_10120VM_Plate2_B08.CEL
BD...27167,482764,3332,Titan_EG0036_10120VM_Plate2_C08.CEL
BD...27168,482765,3333,Titan_EG0036_10120VM_Plate2_D08.CEL
BD...27171,482768,3334,Titan_EG0036_10120VM_Plate2_E08.CEL
BD...27173,482770,3335,Titan_EG0036_10120VM_Plate2_F08.CEL
BD...27174,482771,3336,Titan_EG0036_10120VM_Plate2_G08.CEL
BD...27175,482772,3337,Titan_EG0036_10120VM_Plate2_H08.CEL
BD...27176,482773,3338,Titan_EG0036_10120VM_Plate2_A09.CEL
BD...27177,482774,3339,Titan_EG0036_10120VM_Plate2_B09.CEL
BD...27178,482775,3340,Titan_EG0036_10120VM_Plate2_C09.CEL
BD...27179,482776,3341,Titan_EG0036_10120VM_Plate2_D09.CEL
BD...27180,482777,3342,Titan_EG0036_10120VM_Plate2_E09.CEL
BD...27181,482778,3343,Titan_EG0036_10120VM_Plate2_F09.CEL
BD...27182,482779,3344,Titan_EG0036_10120VM_Plate2_G09.CEL
BD...27183,482780,3345,Titan_EG0036_10120VM_Plate2_H09.CEL
BD...27184,482781,3346,Titan_EG0036_10120VM_Plate2_A10.CEL
BD...27185,482782,3347,Titan_EG0036_10120VM_Plate2_B10.CEL
BD...27186,482783,3348,Titan_EG0036_10120VM_Plate2_C10.CEL
BD...27188,482785,3349,Titan_EG0036_10120VM_Plate2_D10.CEL
BD...27189,482786,3350,Titan_EG0036_10120VM_Plate2_E10.CEL
BD...27190,482787,3351,Titan_EG0036_10120VM_Plate2_F10.CEL
BD...27191,482788,3352,Titan_EG0036_10120VM_Plate2_G10.CEL
BD...27192,482789,3353,Titan_EG0036_10120VM_Plate2_H10.CEL
BD...27193,482790,3354,Titan_EG0036_10120VM_Plate2_A11.CEL
BD...27194,482791,3355,Titan_EG0036_10120VM_Plate2_B11.CEL
BD...27195,482815,3356,Titan_EG0036_10120VM_Plate2_C11.CEL
BD...27196,482816,3357,Titan_EG0036_10120VM_Plate2_D11.CEL
BD...27197,482817,3358,Titan_EG0036_10120VM_Plate2_E11.CEL
BD...27198,482818,3359,Titan_EG0036_10120VM_Plate2_F11.CEL
BD...27199,482819,3360,Titan_EG0036_10120VM_Plate2_G11.CEL
BD...27200,482820,3361,Titan_EG0036_10120VM_Plate2_H11.CEL
BD...27201,482821,3362,Titan_EG0036_10120VM_Plate2_A12.CEL
BD...27202,482822,3363,Titan_EG0036_10120VM_Plate2_B12.CEL
BD...27204,482824,3364,Titan_EG0036_10120VM_Plate2_C12.CEL
BD...27207,482827,3365,Titan_EG0036_10120VM_Plate2_D12.CEL
BD...27208,482828,3366,Titan_EG0036_10120VM_Plate2_E12.CEL
AU...89123,472535,3367,Titan_EG0036_10120VM_Plate2_F12.CEL
AU...89126,472538,3368,Titan_EG0036_10120VM_Plate2_G12.CEL
AU...64346,472993,3369,Titan_EG0036_10120VM_Plate2_H12.CEL
AA...83246,237283,2720,Titan_0201_2309A_Visser_AA...92126_G06
AA...83251,237314,2721,Titan_0201_2309A_Visser_F...691484_C08
AA...83570,237193,2680,Titan_0199_2309A_Visser_AE...18067_E02
AA...83804,236190,2672,Titan_0201_2309A_Visser_F...972092_G09
AA...83912,235877,308,Titan_0201_2309A_Visser_AA...84305_H03
AA...83923,235854,322,Titan_0201_2309A_Visser_F...771500_C10
AA...84305,236254,323,Titan_0201_2309A_Visser_F...800909_G11
AA...84371,236242,1247,Titan_0199_2309A_Visser_AG...56900_G06
AA...84378,236235,324,Titan_0201_2309A_Visser_AC...84479_D01
AA...84493,238529,1585,Titan_0199_2309A_Visser_AK...73287_C07
AA...84513,238514,310,Titan_0201_2309A_Visser_AA...92133_H06
AA...84549,238519,334,Titan_0201_2309A_Visser_AC...97432_H02
AA...84550,238479,335,Titan_0201_2309A_Visser_AA...84799_D04
AA...84557,238473,272,Titan_0201_2309A_Visser_AC...97456_E07
AA...84763,238329,2581,Titan_0200_2309A_Visser_AA...84763_A08
AA...84799,238293,283,Titan_0201_2309A_Visser_AD...01164_H05
AA...89294,238773,339,Titan_0202_2309A_Visser_AA...89294_F03
AA...89904,238165,343,Titan_0202_2309A_Visser_AA...89904_B04
AA...90002,304582,2640,Titan_0200_2309A_Visser_AA...90002_B02
AA...90132,238033,2608,Titan_0200_2309A_Visser_AA...90132_F06
AA...90142,238025,3059,Titan_0200_2309A_Visser_AA...90142_G07
AA...90196,237975,2606,Titan_0200_2309A_Visser_AA...90196_G08
AA...90261,233508,2564,Titan_0200_2309A_Visser_AA...90261_G06
AA...90311,233442,2557,Titan_0200_2309A_Visser_AA...90311_H07
AA...90339,310569,2635,Titan_0200_2309A_Visser_AA...90339_F07
AA...90800,233909,2585,Titan_0200_2309A_Visser_AA...90800_B04
AA...90928,233927,2579,Titan_0200_2309A_Visser_AA...90928_B05
AA...90965,233955,2595,Titan_0200_2309A_Visser_AA...90965_H06
AA...92062,233649,2561,Titan_0201_2309A_Visser_AC...97477_B09
AA...92126,233802,282,Titan_0201_2309A_Visser_F...974154_F10
AA...92133,233821,273,Titan_0201_2309A_Visser_AA...83912_B12
AA...92134,233781,387,Titan_0201_2309A_Visser_AD...01987_A08
AB...65049,243286,2593,Titan_0200_2309A_Visser_AB...65049_B01
AB...65059,243816,2671,Titan_0200_2309A_Visser_AB...65059_C01
AB...65187,310387,2556,Titan_0200_2309A_Visser_AB...65187_E01
AB...65271,243671,2627,Titan_0200_2309A_Visser_AB...65271_F01
AB...65503,242721,2700,Titan_0200_2309A_Visser_AB...65503_H01
AB...65963,242843,1630,Titan_0200_2309A_Visser_AB...65963_G12
AB...65966,242829,1628,Titan_0200_2309A_Visser_AB...65966_H12
AB...65987,242953,1151,5505364240734012616369_(Axiom_GreatTit)_F05
AB...66207,244880,1481,Titan_0197_2309A_Visser_AB...66207_E10
AB...66225,244862,357,Titan_0199_2309A_Visser_AE...27175_A11
AB...66246,244891,358,Titan_0199_2309A_Visser_AH...06649_B11
AB...66345,244620,1417,Titan_0197_2309A_Visser_AB...66345_G09
AB...66668,244955,1480,Titan_0197_2309A_Visser_AB...66668_F10
AB...66814,244143,1479,Titan_0197_2309A_Visser_AB...66814_G10
AB...66878,244215,368,Titan_0199_2309A_Visser_AK...73737_C11
AB...66998,243965,1671,Titan_0200_2309A_Visser_AB...66998_G11
AB...76008,243951,3056,Titan_0201_2309A_Visser_AC...97348_D07
AB...76015,243899,2637,Titan_0202_2309A_Visser_AB...76015_A03
AB...76039,243917,2662,Titan_0199_2309A_Visser_AK...73365_F07
AB...76078,244055,2598,Titan_0199_2309A_Visser_AK...73839_G07
AB...76140,244489,336,Titan_0202_2309A_Visser_AB...76140_C04
AB...76317,244349,1741,Titan_0200_2309A_Visser_AB...76317_C10
AB...76373,240230,1559,Titan_0199_2309A_Visser_AH...06248_E08
AB...76374,240190,1544,Titan_0199_2309A_Visser_AH...05451_G09
AB...76525,240265,2592,Titan_0201_2309A_Visser_AD...01806_B03
AB...76640,239952,2603,Titan_0201_2309A_Visser_AD...01323_C02
AB...76641,239951,2604,Titan_0201_2309A_Visser_AA...83923_G03
AB...76885,240722,2600,Titan_0200_2309A_Visser_AB...76885_E11
AB...77249,240475,319,Titan_0201_2309A_Visser_AC...97032_H08
AB...77325,239301,1493,Titan_0198_2309A_Visser_AH...06336_G01
AB...77357,239326,329,Titan_0201_2309A_Visser_F...973983_D10
AB...77393,239441,1797,Titan_0200_2309A_Visser_AB...77393_C02
AB...77460,239394,183,Titan_0200_2309A_Visser_AB...77460_D03
AB...77462,239392,344,Titan_0199_2309A_Visser_AK...73765_D12
AB...77470,239437,1745,Titan_0200_2309A_Visser_AB...77470_H04
AB...77496,239147,1622,Titan_0201_2309A_Visser_AB...77496_A01
AB...77497,239146,330,Titan_0201_2309A_Visser_F...800911_H11
AB...94212,241131,2641,Titan_0200_2309A_Visser_AB...94212_H11
AC...08256,241248,1347,Titan_0197_2309A_Visser_AC...08256_E01
AC...83441,225380,2715,Titan_0200_2309A_Visser_AC...83441_A12
AC...84031,226027,2607,Titan_0201_2309A_Visser_F...497199_D09
AC...84196,225677,1816,Titan_0201_2309A_Visser_AB...76628_H10
AC...84468,224829,1644,Titan_0201_2309A_Visser_AD...01377_E02
AC...84470,224827,1653,Titan_0201_2309A_Visser_AA...84378_A04
AC...84475,224871,1682,Titan_0201_2309A_Visser_F...984659_E08
AC...84476,224870,1577,Titan_0201_2309A_Visser_AA...83251_E11
AC...84479,224867,1650,Titan_0201_2309A_Visser_AA...84557_E05
AC...84481,224865,352,Titan_0199_2309A_Visser_AH...06845_E11
AC...84484,224862,1652,Titan_0201_2309A_Visser_AD...01872_A07
AC...84495,224814,300,Titan_0201_2309A_Visser_AD...01923_C07
AC...85436,220078,2707,Titan_0197_2309A_Visser_AC...85436_H10
AC...86726,222800,1136,5505364240734012616369_(Axiom_GreatTit)_B09
AC...86727,222785,1405,Titan_0196_2309A_Visser_AC...86727_E12
AC...86992,222585,1478,Titan_0197_2309A_Visser_AC...86992_A11
AC...97075,222549,2582,Titan_0198_2309A_Visser_AH...06333_B12
AC...97201,221497,2551,Titan_0198_2309A_Visser_AH...06842_C12
AC...97348,221623,269,Titan_0201_2309A_Visser_AD...01780_C06
AC...97430,221546,1679,Titan_0201_2309A_Visser_F...692493_B10
AC...97432,221583,1680,Titan_0201_2309A_Visser_AA...83804_F11
AC...97438,221577,1615,Titan_0201_2309A_Visser_F...973752_A10
AC...97440,221575,359,Titan_0199_2309A_Visser_AK...73749_F11
AC...97449,221566,325,Titan_0201_2309A_Visser_AC...97451_A09
AC...97451,221564,317,Titan_0201_2309A_Visser_AD...01050_A02
AC...97456,221396,278,Titan_0201_2309A_Visser_AC...97520_G07
AC...97477,221265,492,Titan_0201_2309A_Visser_AC...84495_E03
AC...97520,221226,280,Titan_0201_2309A_Visser_F...801371_G10
AC...97528,221218,1360,Titan_0198_2309A_Visser_AK...73014_D12
AC...97545,221255,327,Titan_0201_2309A_Visser_AD...01828_D03
AC...97554,221245,1344,Titan_0198_2309A_Visser_AE...27767_E12
AC...97592,221370,2599,5505364240734012616369_(Axiom_GreatTit)_H06
AC...97806,222033,2562,Titan_0198_2309A_Visser_AC...85436_F12
AC...97848,221992,1343,Titan_0198_2309A_Visser_AE...27371_G12
AD...01050,221838,2618,Titan_0201_2309A_Visser_AC...84468_B01
AD...01057,221857,3053,Titan_0201_2309A_Visser_AD...01379_F02
AD...01164,304786,2566,Titan_0201_2309A_Visser_F...801375_A12
AD...01197,230459,362,Titan_0199_2309A_Visser_AE...27774_G11
AD...01369,230576,2596,Titan_0201_2309A_Visser_AC...97449_F05
AD...01377,310195,2668,Titan_0201_2309A_Visser_AD...01906_B07
AD...01439,230311,2646,Titan_0201_2309A_Visser_AC...84470_C01
AD...01588,230371,2690,Titan_0201_2309A_Visser_AC...84475_F01
AD...01765,231058,1766,Titan_0200_2309A_Visser_AD...01765_F08
AD...01766,231057,1725,Titan_0200_2309A_Visser_AD...01766_H08
AD...01780,231043,292,Titan_0201_2309A_Visser_AB...77249_F04
AD...01781,231042,364,Titan_0199_2309A_Visser_AK...73757_A12
AD...01782,231041,270,Titan_0201_2309A_Visser_AB...76525_B06
AD...01784,231039,1699,Titan_0200_2309A_Visser_AD...01784_A09
AD...01806,230965,312,Titan_0201_2309A_Visser_AC...97430_G02
AD...01816,231007,271,Titan_0201_2309A_Visser_AD...01980_F07
AD...01828,230995,328,Titan_0201_2309A_Visser_AD...01978_G05
AD...01872,230742,299,Titan_0201_2309A_Visser_AC...97438_G01
AD...01906,230656,284,Titan_0201_2309A_Visser_AD...01822_C03
AD...01923,230691,276,Titan_0201_2309A_Visser_AB...77357_G04
AD...01977,230846,321,Titan_0201_2309A_Visser_AC...84196_G08
AD...01978,230845,294,Titan_0201_2309A_Visser_F...800799_E10
AD...01980,230843,279,Titan_0201_2309A_Visser_F...497198_C09
AD...01987,230836,277,Titan_0201_2309A_Visser_AC...84476_H01
AD...01992,230831,315,Titan_0201_2309A_Visser_AD...01782_D06
AD...01998,230773,489,Titan_0201_2309A_Visser_AA...92134_E09
AD...16800,230780,1497,Titan_0199_2309A_Visser_AG...28348_H02
AD...99663,226341,1786,Titan_0199_2309A_Visser_AK...73777_G12
AD...99801,226361,2694,Titan_0198_2309A_Visser_AK...73073_A02
AD...99875,226129,1495,Titan_0199_2309A_Visser_AH...06292_B03
AE...02545,228836,2695,Titan_0197_2309A_Visser_AE...02545_B11
AE...13164,228308,363,Titan_0199_2309A_Visser_AG...57795_H12
AE...16510,184436,2580,Titan_0198_2309A_Visser_AL...64242_E11
AE...16572,184385,2574,Titan_0204_2309A_Visser_AE...16572_F02
AE...17035,184494,1223,Titan_0204_2309A_Visser_AE...17035_C03
AE...17056,184506,1346,Titan_0198_2309A_Visser_AK...73869_E10
AE...17170,184601,1555,Titan_0199_2309A_Visser_AH...05875_E10
AE...17185,183567,1612,Titan_0199_2309A_Visser_AE...27161_F10
AE...17203,183587,355,Titan_0199_2309A_Visser_AH...06645_G10
AE...17240,183513,356,Titan_0199_2309A_Visser_AK...73681_H10
AE...17590,183975,2527,Titan_0195_2309A_Visser_AE...17590_E08
AE...17980,185924,2591,Titan_0198_2309A_Visser_AH...05415_B10
AE...18061,185988,1486,Titan_0198_2309A_Visser_AE...27768_B02
AE...18067,185982,1345,Titan_0197_2309A_Visser_AE...18067_A02
AE...18107,185943,1655,Titan_0204_2309A_Visser_AE...18107_B08
AE...18140,185958,1788,Titan_0203_2309A_Visser_AE...18140_F05
AE...18210,185659,1348,Titan_0199_2309A_Visser_AL...61030_A01
AE...18218,185638,1485,Titan_0198_2309A_Visser_AC...86992_C02
AE...18243,185734,2583,Titan_0199_2309A_Visser_AK...73073_B01
AE...18263,185786,1484,Titan_0198_2309A_Visser_AE...27771_D02
AE...18285,185813,1684,Titan_0200_2309A_Visser_AE...18285_E10
AE...18294,185791,1685,Titan_0200_2309A_Visser_AE...18294_F10
AE...18332,185766,2688,Titan_0199_2309A_Visser_AK...73788_C01
AE...18349,186282,1502,Titan_0199_2309A_Visser_AH...06297_E03
AE...18356,186275,1694,Titan_0200_2309A_Visser_AE...18356_B11
AE...18366,186303,1676,Titan_0200_2309A_Visser_AE...18366_D11
AE...18797,185059,2529,Titan_0199_2309A_Visser_AC...86992_B04
AE...18932,184924,2669,Titan_0199_2309A_Visser_AH...06347_C04
AE...18950,184920,1316,Titan_0199_2309A_Visser_AH...05726_D04
AE...27122,185509,2619,Titan_0197_2309A_Visser_AE...27122_C11
AE...27161,185519,2589,Titan_0197_2309A_Visser_AE...27161_D11
AE...27171,185461,2682,Titan_0197_2309A_Visser_AE...27171_E11
AE...27175,185457,2681,Titan_0197_2309A_Visser_AE...27175_F11
AE...27184,185448,2683,Titan_0197_2309A_Visser_AE...27184_G11
AE...27251,185623,1427,5505364240734012616369_(Axiom_GreatTit)_A11
AE...27371,185261,1358,Titan_0197_2309A_Visser_AE...27371_H11
AE...27561,181270,2636,Titan_0198_2309A_Visser_AF...09407_F02
AE...27757,181002,1334,Titan_0198_2309A_Visser_AK...73735_C10
AE...27767,181005,1416,Titan_0197_2309A_Visser_AE...27767_H09
AE...27768,180991,1415,Titan_0197_2309A_Visser_AE...27768_A10
AE...27771,180988,1489,Titan_0197_2309A_Visser_AE...27771_A12
AE...27774,180985,1491,Titan_0197_2309A_Visser_AE...27774_B12
AE...27795,181012,1169,Titan_0195_2309A_Visser_AE...27795_B09
AE...27896,181104,2708,Titan_0197_2309A_Visser_AE...27896_C12
AE...97068,182775,1488,Titan_0197_2309A_Visser_AE...97068_D12
AE...97204,182846,1490,Titan_0197_2309A_Visser_AE...97204_E12
AF...06943,6453,404,Titan_0181_2309A_Visser_AF....06943_E07
AF...07300,190950,1391,Titan_0199_2309A_Visser_AC...08256_G01
AF...07455,190841,1503,Titan_0199_2309A_Visser_AK...73843_A02
AF...07549,190932,1494,Titan_0199_2309A_Visser_AH...95851_B02
AF...07915,189826,1501,Titan_0199_2309A_Visser_AB...66345_C02
AF...08049,190232,2716,Titan_0199_2309A_Visser_AE...27122_E04
