ID,yrbirth,social_immigrant_status,male_bl,female_bl,male_bd,female_bd,bl,sex,yrbirth_centre
NE96421,1982,local,13.8,NA,4.5,NA,13.8,Male,-12.01285657
NE96423,1982,local,13.1,NA,4.7,NA,13.1,Male,-12.01285657
NE96424,1982,local,NA,13.2,NA,4.4,13.2,Female,-12.01285657
NE96464,1982,local,NA,13.2,NA,4.3,13.2,Female,-12.01285657
NE96485,1982,local,NA,13.6,NA,4.1,13.6,Female,-12.01285657
NE96489,1982,local,NA,13.8,NA,4.5,13.8,Female,-12.01285657
NE96611,1982,immigrant,13,NA,4.4,NA,13,Male,-12.01285657
NE96615,1982,immigrant,13,NA,4.3,NA,13,Male,-12.01285657
NE96622,1982,immigrant,13.5,NA,4.6,NA,13.5,Male,-12.01285657
NE96644,1982,immigrant,NA,13.2,NA,4.25,13.2,Female,-12.01285657
NE96645,1982,immigrant,13.2,NA,4.4,NA,13.2,Male,-12.01285657
NK59258,1982,local,12.8,NA,4.7,NA,12.8,Male,-12.01285657
NK59364,1982,local,13.1,NA,4.4,NA,13.1,Male,-12.01285657
NK59385,1982,immigrant,NA,13.4,NA,4.3,13.4,Female,-12.01285657
NK59507,1982,local,NA,13.5,NA,4.5,13.5,Female,-12.01285657
NK59522,1982,local,NA,13.9,NA,4.3,13.9,Female,-12.01285657
NK59525,1982,local,NA,13.05,NA,4.2,13.05,Female,-12.01285657
NK59537,1982,local,13.3,NA,4.7,NA,13.3,Male,-12.01285657
NK59540,1982,local,13.1,NA,4.85,NA,13.1,Male,-12.01285657
NK59541,1982,local,13.45,NA,4.5,NA,13.45,Male,-12.01285657
NK59543,1982,local,NA,13.05,NA,4.3,13.05,Female,-12.01285657
NK59547,1982,local,13.45,NA,4.7,NA,13.45,Male,-12.01285657
NK59552,1982,local,NA,14.5,NA,4.6,14.5,Female,-12.01285657
NK59554,1982,local,NA,13.9,NA,4.5,13.9,Female,-12.01285657
NK59557,1982,local,NA,13.3,NA,4.4,13.3,Female,-12.01285657
NK59558,1982,local,NA,13.15,NA,4.3,13.15,Female,-12.01285657
NK59562,1982,local,NA,13.3,NA,4.5,13.3,Female,-12.01285657
NK59564,1982,local,13.1,NA,4.5,NA,13.1,Male,-12.01285657
NK59570,1982,local,NA,14.1,NA,4.5,14.1,Female,-12.01285657
NK59575,1982,local,13.2,NA,4.7,NA,13.2,Male,-12.01285657
NK59576,1982,local,12.85,NA,4.7,NA,12.85,Male,-12.01285657
NK59581,1982,local,13.8,NA,4.6,NA,13.8,Male,-12.01285657
NK59595,1982,local,NA,13.4,NA,4.4,13.4,Female,-12.01285657
NK59598,1982,local,NA,13.55,NA,4.4,13.55,Female,-12.01285657
NK59636,1982,immigrant,NA,13.9,NA,4.7,13.9,Female,-12.01285657
NK59658,1982,local,NA,13.95,NA,4.65,13.95,Female,-12.01285657
NK59671,1982,local,12.9,NA,4.7,NA,12.9,Male,-12.01285657
NK59676,1982,local,13.25,NA,4.7,NA,13.25,Male,-12.01285657
A725170,1983,immigrant,NA,13.8,NA,4.5,13.8,Female,-11.01285657
A725172,1983,immigrant,14.4,NA,4.8,NA,14.4,Male,-11.01285657
A725178,1983,immigrant,13.5,NA,4.7,NA,13.5,Male,-11.01285657
A725179,1983,immigrant,NA,16,NA,4.5,16,Female,-11.01285657
A725181,1983,immigrant,NA,13.55,NA,4.5,13.55,Female,-11.01285657
A725199,1983,immigrant,NA,13,NA,4.45,13,Female,-11.01285657
A725720,1983,immigrant,13,NA,4.7,NA,13,Male,-11.01285657
A725737,1983,immigrant,13.2,NA,4.6,NA,13.2,Male,-11.01285657
B068280,1983,immigrant,NA,13.8,NA,4.5,13.8,Female,-11.01285657
B068281,1983,immigrant,13.7,NA,4.5,NA,13.7,Male,-11.01285657
B068282,1983,immigrant,NA,14.2,NA,4.45,14.2,Female,-11.01285657
B068283,1983,immigrant,NA,13,NA,4.3,13,Female,-11.01285657
B069050,1983,immigrant,13.6,NA,4.6,NA,13.6,Male,-11.01285657
B069051,1983,immigrant,NA,13,NA,4.3,13,Female,-11.01285657
B069074,1983,immigrant,12.9,NA,4.6,NA,12.9,Male,-11.01285657
B069096,1983,immigrant,13.3,NA,4.6,NA,13.3,Male,-11.01285657
B069132,1983,immigrant,NA,14.1,NA,4.2,14.1,Female,-11.01285657
B069161,1983,immigrant,13.1,NA,4.7,NA,13.1,Male,-11.01285657
B069189,1983,immigrant,NA,14.1,NA,4.5,14.1,Female,-11.01285657
B069199,1983,immigrant,NA,14.2,NA,4.4,14.2,Female,-11.01285657
B069236,1983,immigrant,NA,14.2,NA,4.4,14.2,Female,-11.01285657
B069237,1983,immigrant,13.6,NA,4.8,NA,13.6,Male,-11.01285657
B069264,1983,immigrant,NA,14.5,NA,4.6,14.5,Female,-11.01285657
B069386,1983,immigrant,NA,13.95,NA,4.5,13.95,Female,-11.01285657
B069453,1983,immigrant,13.8,NA,4.7,NA,13.8,Male,-11.01285657
B069477,1983,immigrant,13.3,NA,4.7,NA,13.3,Male,-11.01285657
B069478,1983,immigrant,NA,13.7,NA,4.8,13.7,Female,-11.01285657
B069479,1983,immigrant,NA,13.8,NA,4.7,13.8,Female,-11.01285657
B069487,1983,immigrant,NA,13.8,NA,4.4,13.8,Female,-11.01285657
BA73160,1983,local,13.9,NA,4.9,NA,13.9,Male,-11.01285657
NE93775,1983,local,NA,14.4,NA,4.4,14.4,Female,-11.01285657
NE95869,1983,local,NA,13,NA,4.3,13,Female,-11.01285657
NE95870,1983,local,13.5,NA,4.4,NA,13.5,Male,-11.01285657
NE95902,1983,local,13.7,NA,4.6,NA,13.7,Male,-11.01285657
NE95903,1983,local,NA,14.35,NA,4.3,14.35,Female,-11.01285657
NE95906,1983,local,13.35,NA,4.5,NA,13.35,Male,-11.01285657
NE95928,1983,local,13.6,NA,4.6,NA,13.6,Male,-11.01285657
NE95936,1983,local,13.4,NA,4.6,NA,13.4,Male,-11.01285657
NE96707,1983,local,NA,13.3,NA,4.7,13.3,Female,-11.01285657
NE96929,1983,local,13,NA,4.5,NA,13,Male,-11.01285657
NE96968,1983,local,13.25,NA,4.65,NA,13.25,Male,-11.01285657
NE96970,1983,local,13.5,NA,4.55,NA,13.5,Male,-11.01285657
NK59135,1983,local,12.9,NA,4.5,NA,12.9,Male,-11.01285657
NK59205,1983,local,NA,13,NA,4.6,13,Female,-11.01285657
NK59221,1983,local,12.9,NA,4.5,NA,12.9,Male,-11.01285657
NK59246,1983,local,NA,13.6,NA,4.45,13.6,Female,-11.01285657
NK59387,1983,local,NA,13.4,NA,4.5,13.4,Female,-11.01285657
NK59395,1983,local,NA,13,NA,4.45,13,Female,-11.01285657
NK59433,1983,local,13,NA,4.7,NA,13,Male,-11.01285657
NK59434,1983,local,NA,12.8,NA,4.6,12.8,Female,-11.01285657
NK59437,1983,local,13.4,NA,4.8,NA,13.4,Male,-11.01285657
NK59453,1983,local,13.6,NA,4.8,NA,13.6,Male,-11.01285657
NK59460,1983,local,NA,13.5,NA,4.7,13.5,Female,-11.01285657
NK59464,1983,local,13.2,NA,4.7,NA,13.2,Male,-11.01285657
NK59465,1983,local,12.8,NA,4.5,NA,12.8,Male,-11.01285657
NK59475,1983,local,14,NA,4.8,NA,14,Male,-11.01285657
NK59762,1983,local,NA,13.9,NA,4.6,13.9,Female,-11.01285657
NK59779,1983,local,NA,13.55,NA,4.35,13.55,Female,-11.01285657
NK59807,1983,local,13.6,NA,4.7,NA,13.6,Male,-11.01285657
NK59814,1983,local,13.3,NA,4.6,NA,13.3,Male,-11.01285657
NK59818,1983,local,NA,13.4,NA,4.4,13.4,Female,-11.01285657
NK59824,1983,local,NA,12.85,NA,4.45,12.85,Female,-11.01285657
NK59853,1983,local,NA,13.3,NA,4.5,13.3,Female,-11.01285657
NK59901,1983,local,NA,13.05,NA,4.7,13.05,Female,-11.01285657
NK59930,1983,local,NA,13.5,NA,4.5,13.5,Female,-11.01285657
NK59935,1983,local,13.2,NA,4.8,NA,13.2,Male,-11.01285657
NK59938,1983,local,13.7,NA,4.5,NA,13.7,Male,-11.01285657
NK59983,1983,local,NA,13.6,NA,4.4,13.6,Female,-11.01285657
NK59999,1983,local,13.7,NA,4.7,NA,13.7,Male,-11.01285657
NN30020,1983,local,NA,14.6,NA,4.4,14.6,Female,-11.01285657
NN30039,1983,local,NA,13.9,NA,4.5,13.9,Female,-11.01285657
NN30058,1983,local,NA,12.8,NA,4.6,12.8,Female,-11.01285657
NN30072,1983,local,NA,13.8,NA,4.5,13.8,Female,-11.01285657
NN30074,1983,local,13,NA,4.55,NA,13,Male,-11.01285657
NN30085,1983,local,13.7,NA,4.8,NA,13.7,Male,-11.01285657
NN30090,1983,local,13.4,NA,4.5,NA,13.4,Male,-11.01285657
NN30152,1983,local,NA,13.8,NA,4.5,13.8,Female,-11.01285657
NN30160,1983,local,13.15,NA,4.6,NA,13.15,Male,-11.01285657
NN30165,1983,local,14.2,NA,4.7,NA,14.2,Male,-11.01285657
NN30244,1983,local,NA,13.6,NA,4.5,13.6,Female,-11.01285657
NN34061,1983,local,NA,14.5,NA,4.5,14.5,Female,-11.01285657
NN34074,1983,local,13.7,NA,4.7,NA,13.7,Male,-11.01285657
NN34133,1983,local,NA,14.65,NA,4.4,14.65,Female,-11.01285657
NN34341,1983,local,NA,13,NA,4.35,13,Female,-11.01285657
NN34533,1983,local,NA,12.8,NA,4.5,12.8,Female,-11.01285657
NN34537,1983,local,13.5,NA,4.7,NA,13.5,Male,-11.01285657
NN35059,1983,local,NA,13.8,NA,4.45,13.8,Female,-11.01285657
NN35071,1983,local,NA,13.2,NA,4.4,13.2,Female,-11.01285657
NN35081,1983,local,13.2,NA,4.6,NA,13.2,Male,-11.01285657
NN35085,1983,local,13.55,NA,4.5,NA,13.55,Male,-11.01285657
NN35097,1983,local,NA,15.35,NA,4.55,15.35,Female,-11.01285657
NN35098,1983,local,13.3,NA,4.6,NA,13.3,Male,-11.01285657
NN35120,1983,local,NA,13.95,NA,4.5,13.95,Female,-11.01285657
NN35152,1983,local,13.2,NA,4.6,NA,13.2,Male,-11.01285657
NN35203,1983,local,13.3,NA,4.75,NA,13.3,Male,-11.01285657
NN35210,1983,local,13.3,NA,4.7,NA,13.3,Male,-11.01285657
NN35245,1983,local,NA,13.5,NA,4.4,13.5,Female,-11.01285657
NN35283,1983,local,NA,13.75,NA,4.4,13.75,Female,-11.01285657
A007890,1984,immigrant,NA,13.3,NA,4.2,13.3,Female,-10.01285657
A724428,1984,immigrant,13.6,NA,4.6,NA,13.6,Male,-10.01285657
A724431,1984,immigrant,NA,14.5,NA,4.8,14.5,Female,-10.01285657
A725030,1984,immigrant,13,NA,4.55,NA,13,Male,-10.01285657
C375330,1984,immigrant,13.2,NA,4.45,NA,13.2,Male,-10.01285657
C375396,1984,immigrant,NA,13.85,NA,4.4,13.85,Female,-10.01285657
C375398,1984,immigrant,NA,13.7,NA,4.35,13.7,Female,-10.01285657
C696253,1984,immigrant,NA,13.4,NA,4.1,13.4,Female,-10.01285657
C696254,1984,immigrant,12.95,NA,4.5,NA,12.95,Male,-10.01285657
C696273,1984,immigrant,NA,13,NA,4.45,13,Female,-10.01285657
C696274,1984,immigrant,NA,13.9,NA,4.6,13.9,Female,-10.01285657
C696468,1984,immigrant,NA,14.05,NA,4.65,14.05,Female,-10.01285657
C696477,1984,immigrant,14.3,NA,4.4,NA,14.3,Male,-10.01285657
C696498,1984,immigrant,13.1,NA,4.9,NA,13.1,Male,-10.01285657
C696499,1984,immigrant,NA,13.7,NA,4.7,13.7,Female,-10.01285657
C716315,1984,immigrant,NA,13.45,NA,4.4,13.45,Female,-10.01285657
C716316,1984,immigrant,13.6,NA,4.65,NA,13.6,Male,-10.01285657
C716440,1984,immigrant,13.7,NA,4.65,NA,13.7,Male,-10.01285657
C716441,1984,immigrant,NA,14.45,NA,4.45,14.45,Female,-10.01285657
C716451,1984,immigrant,13.1,NA,4.7,NA,13.1,Male,-10.01285657
C716452,1984,immigrant,NA,13.35,NA,4.6,13.35,Female,-10.01285657
C716485,1984,immigrant,NA,12.9,NA,4.1,12.9,Female,-10.01285657
C716580,1984,immigrant,12.8,NA,4.4,NA,12.8,Male,-10.01285657
NE93611,1984,local,NA,13.9,NA,4.3,13.9,Female,-10.01285657
NE93624,1984,local,13.4,NA,4.6,NA,13.4,Male,-10.01285657
NN30386,1984,local,NA,13.4,NA,4.2,13.4,Female,-10.01285657
NN34914,1984,local,NA,13.1,NA,4.3,13.1,Female,-10.01285657
NN35387,1984,local,13.3,NA,4.6,NA,13.3,Male,-10.01285657
NN35400,1984,local,13.3,NA,4.7,NA,13.3,Male,-10.01285657
NN35453,1984,local,13.4,NA,4.75,NA,13.4,Male,-10.01285657
NN35477,1984,local,13.8,NA,4.5,NA,13.8,Male,-10.01285657
NN87003,1984,local,NA,13.3,NA,4.25,13.3,Female,-10.01285657
NN87006,1984,local,NA,13.9,NA,4.4,13.9,Female,-10.01285657
NN87008,1984,local,NA,13.85,NA,4.1,13.85,Female,-10.01285657
NN87011,1984,local,13.35,NA,4.7,NA,13.35,Male,-10.01285657
NN87022,1984,local,13.5,NA,4.7,NA,13.5,Male,-10.01285657
NN87025,1984,local,13.5,NA,4.6,NA,13.5,Male,-10.01285657
NN87029,1984,local,13.2,NA,4.8,NA,13.2,Male,-10.01285657
NN87034,1984,local,NA,12.6,NA,4.2,12.6,Female,-10.01285657
NN87035,1984,local,13.6,NA,4.7,NA,13.6,Male,-10.01285657
NN87126,1984,local,NA,13.4,NA,4.6,13.4,Female,-10.01285657
NN87168,1984,local,NA,14.4,NA,4.5,14.4,Female,-10.01285657
NN87228,1984,local,NA,13.7,NA,4.8,13.7,Female,-10.01285657
NN87240,1984,local,NA,13.6,NA,4.5,13.6,Female,-10.01285657
NN87342,1984,local,12.4,NA,4.3,NA,12.4,Male,-10.01285657
NN87537,1984,local,NA,13.3,NA,4.25,13.3,Female,-10.01285657
NN87554,1984,local,13.6,NA,4.8,NA,13.6,Male,-10.01285657
C695208,1985,immigrant,NA,13.3,NA,4.3,13.3,Female,-9.012856569
C695529,1985,immigrant,13.4,NA,4.7,NA,13.4,Male,-9.012856569
C695531,1985,immigrant,NA,13.5,NA,4.55,13.5,Female,-9.012856569
C695570,1985,immigrant,12.85,NA,4.65,NA,12.85,Male,-9.012856569
C695575,1985,immigrant,NA,12.7,NA,4.3,12.7,Female,-9.012856569
C695586,1985,immigrant,12.9,NA,4.55,NA,12.9,Male,-9.012856569
C695590,1985,immigrant,NA,12.75,NA,4.6,12.75,Female,-9.012856569
C695594,1985,immigrant,NA,13.8,NA,4.5,13.8,Female,-9.012856569
C695599,1985,immigrant,13.8,NA,4.4,NA,13.8,Male,-9.012856569
C695631,1985,immigrant,13.5,NA,4.65,NA,13.5,Male,-9.012856569
C716665,1985,immigrant,13.2,NA,4.4,NA,13.2,Male,-9.012856569
C716666,1985,immigrant,NA,13.5,NA,4.4,13.5,Female,-9.012856569
C716667,1985,immigrant,NA,13,NA,4.5,13,Female,-9.012856569
E066041,1985,immigrant,13,NA,4.7,NA,13,Male,-9.012856569
E066042,1985,immigrant,NA,13.85,NA,4.5,13.85,Female,-9.012856569
E066099,1985,immigrant,12.9,NA,4.6,NA,12.9,Male,-9.012856569
E066143,1985,immigrant,13,NA,4.6,NA,13,Male,-9.012856569
E066160,1985,immigrant,NA,13.55,NA,4.6,13.55,Female,-9.012856569
E066179,1985,immigrant,NA,12.75,NA,4.3,12.75,Female,-9.012856569
E066181,1985,immigrant,13.3,NA,4.8,NA,13.3,Male,-9.012856569
E066182,1985,immigrant,12.9,NA,4.6,NA,12.9,Male,-9.012856569
E066183,1985,immigrant,14.3,NA,4.5,NA,14.3,Male,-9.012856569
E066184,1985,immigrant,NA,13.25,NA,4.4,13.25,Female,-9.012856569
E066193,1985,immigrant,13.3,NA,4.35,NA,13.3,Male,-9.012856569
E066304,1985,immigrant,13.2,NA,4.7,NA,13.2,Male,-9.012856569
E066305,1985,immigrant,12.95,NA,4.75,NA,12.95,Male,-9.012856569
E067801,1985,immigrant,13.2,NA,4.5,NA,13.2,Male,-9.012856569
E067896,1985,immigrant,12.55,NA,4.5,NA,12.55,Male,-9.012856569
E067897,1985,immigrant,NA,13.95,NA,4.4,13.95,Female,-9.012856569
E067898,1985,immigrant,NA,13.7,NA,4.5,13.7,Female,-9.012856569
E067899,1985,immigrant,13.4,NA,4.45,NA,13.4,Male,-9.012856569
E067900,1985,immigrant,NA,13.3,NA,4.45,13.3,Female,-9.012856569
E068000,1985,immigrant,NA,14.2,NA,4.65,14.2,Female,-9.012856569
NC10769,1985,local,NA,13.35,NA,4.5,13.35,Female,-9.012856569
NC10787,1985,local,NA,13.3,NA,4.6,13.3,Female,-9.012856569
NE96849,1985,local,13.45,NA,4.4,NA,13.45,Male,-9.012856569
NN86070,1985,local,NA,12.9,NA,4.6,12.9,Female,-9.012856569
NN86083,1985,local,NA,13.1,NA,4.5,13.1,Female,-9.012856569
NN86093,1985,local,13.3,NA,4.65,NA,13.3,Male,-9.012856569
NN86096,1985,local,14.05,NA,4.7,NA,14.05,Male,-9.012856569
NN86097,1985,local,13.3,NA,4.6,NA,13.3,Male,-9.012856569
NN86100,1985,local,13.25,NA,4.5,NA,13.25,Male,-9.012856569
NN86105,1985,local,12.7,NA,4.5,NA,12.7,Male,-9.012856569
NN86107,1985,local,NA,13.05,NA,4.4,13.05,Female,-9.012856569
NN86112,1985,local,NA,12.6,NA,4.5,12.6,Female,-9.012856569
NN86153,1985,local,NA,13.4,NA,4.5,13.4,Female,-9.012856569
NN86158,1985,local,13.3,NA,4.8,NA,13.3,Male,-9.012856569
NN86186,1985,local,NA,14.1,NA,4.5,14.1,Female,-9.012856569
NN86191,1985,local,13.35,NA,4.45,NA,13.35,Male,-9.012856569
NN86194,1985,local,NA,13.5,NA,4.5,13.5,Female,-9.012856569
NN86198,1985,local,NA,13.7,NA,4.5,13.7,Female,-9.012856569
NN86339,1985,local,NA,13.7,NA,4.4,13.7,Female,-9.012856569
NN86530,1985,local,NA,14.3,NA,4.4,14.3,Female,-9.012856569
NN86590,1985,local,13.7,NA,4.6,NA,13.7,Male,-9.012856569
NN86602,1985,local,13.45,NA,4.6,NA,13.45,Male,-9.012856569
NN86603,1985,local,NA,14.05,NA,4.5,14.05,Female,-9.012856569
NN86754,1985,local,12.85,NA,4.65,NA,12.85,Male,-9.012856569
NN86757,1985,local,NA,13.45,NA,4.35,13.45,Female,-9.012856569
