id,pnum,origin_pnum,site,grid_ref,date_time,initials,retrap,age,sex,bto_species_code,bto_ring,pit_tag,weight,wing_length,tarsus_length,tarsus_length_method,bill_length,bill_length_method,bill_depth,bill_depth_method,pox_description,pectoral_muscle,leg_condition_description,tick_description,fat,moult_description,comment,feather,source_file,dup_pulli,missing_date_time,dup_date_time_bto_ring,diff_pnum_site_to_site,rescaled_morphometrics,updated_species_code,legacy_brood_id,breaststripe1,breaststripe2
38690,,,MP,SP4608,07/02/2005 13:30,MS,R,5,M,GRETI,A225416,,19,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38813,,,MP,SP4608,15/02/2005 00:00,JQ,R,5,M,GRETI,A225416,,18.5,74,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38433,,,B20,SP4608,19/01/2005 13:00,JQ,N,5,F,GRETI,A225438,,19.2,72,18.9,S,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
45586,,,MP,SP4608,17/10/2005 09:40,SCP,R,4,F,GRETI,A225438,,19.2,72,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38435,,,B20,SP4608,19/01/2005 13:00,JQ,N,5,F,GRETI,A225441,,18.3,74,20.2,S,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
41151,20051b89,,b89,SP4608,19/05/2005 00:00,,R,5,F,GRETI,A225441,,18.6,74,22.4,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
17342,20011w69,,w,SP4608,30/05/2001 00:00,,N,5,F,GRETI,C695356,,18.2,74,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,1,1,,,,
255237,20021EX20,,EX,,11/05/2002 00:00,ingres,,6,F,GRETI,C695356,,18.1,75.5,,,,,,,,0,,,0,0OGC,,,sobseall_long_term_data.csv,,,,1,1,1,,,
256105,20041W78,,W78,,17/05/2004 10:00,robin,R,6,F,GRETI,C695356,,19.2,75,,,,,,,,,,,,,,,sobseall_long_term_data.csv,,,,,1,1,,,
39223,,,EX,SP4608,21/03/2005 00:00,JQ,R,6,F,GRETI,C695356,,17.5,75,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
41964,20051w75a,,w75a,SP4608,22/05/2005 07:00,AG,R,6,F,GRETI,C695356,,17.5,75,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
49055,20061w78,,W78,SP4608,27/05/2006 10:00,KSJ,R,6,F,GRETI,C695356,,18,75,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
60780,20071w76,,W76,SP4608,20/05/2007 12:14,ML,R,6,F,GRETI,C695356,9e1ad0,17.1,74,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
18794,20011cp37,,cp,SP4608,04/06/2001 00:00,,N,5,F,GRETI,C695386,,19.5,74.5,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,1,1,,,,
255509,20021CP35,,CP,,20/05/2002 00:00,ingres,,6,F,GRETI,C695386,,19.5,76,,,,,,,,0,,,0,0OGC,,,sobseall_long_term_data.csv,,,,1,1,1,,,
255891,20031CP37,,CP,,26/05/2003 00:00,ingres,,6,F,GRETI,C695386,,19.7,76,,,,,,,,0,,,0,0OGC,,,sobseall_long_term_data.csv,,,,1,1,1,,,
19535,20011w46,,w,SP4608,06/06/2001 00:00,,N,5,F,GRETI,C695390,,18,71,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,1,1,,,,
19534,20011ex21,,ex,SP4608,06/06/2001 00:00,,N,5,M,GRETI,C695391,,17.3,73,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,1,1,,,,
255538,20021W10,,W,,22/05/2002 00:00,ingres,,6,M,GRETI,C695391,,17.6,76,,,,,,,,0,,,0,0OGC,,,sobseall_long_term_data.csv,,,,1,1,1,,,
255782,20031W11,,W,,23/05/2003 00:00,ingres,,6,M,GRETI,C695391,,18.3,76,,,,,,,,0,,,0,0OGC,,,sobseall_long_term_data.csv,,,,1,1,1,,,
20656,20011ex51,,ex,SP4608,09/06/2001 00:00,,N,5,F,GRETI,C695399,,18.5,74,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,1,1,,,,
255213,20021EX51A,,EX,,10/05/2002 00:00,ingres,,6,F,GRETI,C695399,,19,74,,,,,,,,0,,,0,0OGC,,,sobseall_long_term_data.csv,,,,1,1,1,,,
256332,20041EX49C,,EX49C,,27/05/2004 21:00,robin,R,6,F,GRETI,C695399,,20.8,73,,,,,,,,,,,,,,,sobseall_long_term_data.csv,,,,1,1,1,,,
259192,20051EX48,,EX48,,26/05/2005 17:00,Andy Gosler,R,6,F,GRETI,C695399,,19.7,74,,,,,,,,,,,,,,,WO_adult_table.csv,,,,,1,1,,,
66425,20081sw131,,SW131,SP4608,14/05/2008 10:00,EC,N,5,F,GRETI,E018352,9e094b,17.5,69.5,20.1,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,1,1,,,,
81205,20091sw129,,SW129,SP4608,20/05/2009 06:00,IS,R,6,F,GRETI,E018352,0416ed00bf,17.3,71,23.5,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,1,1,,,,
92285,20101ex3,,EX3,SP4608,25/05/2010 08:00,AG,R,5,F,GRETI,E509370,,18.8,75,23.2,M,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
98994,,,CH,SP4608,10/11/2010 12:28,LMA,R,4,F,GRETI,E509370,,18.3,76,23,M,13.3,S,4.5,N,,1,N,N,30,,old pit,,CAM_94-2013_IMPR.csv,,,,,,,,,
104086,,,EXT,SP4608,15/03/2011 20:55,AMG,R,4,F,GRETI,E509370,2a006d7e7c,,,,,,,,,,,N,N,,,BOX 4 rem blu pit,,CAM_94-2013_IMPR.csv,,,,,,,,,
104897,20111ex3,,EX3,SP4608,09/05/2011 13:00,AGG,R,6,F,GRETI,E509370,,19.6,76,23,M,13.8,S,4.4,N,N,,Y,N,20,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
119627,20121ex2,,EX2,SP4608,16/04/2012 00:00,,O,4,F,GRETI,E509370,2A006D7E7C,,,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,,,,,
121842,20121ex2,,EX2,SP4608,22/05/2012 00:00,,O,4,F,GRETI,E509370,2a006d7e7c,,,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,,,,,
42021,20051w56,,W56,SP4608,22/05/2005 13:00,AG,N,5,M,GRETI,E985065,,18.5,76,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,,1,,,,
47549,,,NR W68,SP4608,21/03/2006 00:00,JEC,R,6,M,GRETI,E985065,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
49319,20061w39,,W39,SP4608,28/05/2006 12:00,AGG,R,6,M,GRETI,E985065,,18.1,77,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
42303,20051ex31,,EX31,SP4608,23/05/2005 20:00,AG,N,5,F,GRETI,E985071,,18.5,74.5,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
48121,20061ex30,,EX30,SP4608,23/05/2006 09:00,KSJ,R,6,F,GRETI,E985071,,18.4,74,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
55851,,,CH,SP4608,13/03/2007 00:00,AGG,R,6,F,GRETI,E985071,,,,,,,,,,,,,,,,age correction,,CAM_94-2013_IMPR.csv,,,,,,,,,
57537,20071ex32,,EX32,SP4608,15/05/2007 12:00,ML,R,6,F,GRETI,E985071,9e350d,18,74,21.7,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
70109,20081ex29a,,EX29A,SP4608,27/05/2008 06:58,ML,R,6,F,GRETI,E985071,2e8b2e,18.4,73,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,1,1,,,,
78797,20091ex30,,EX30,SP4608,17/05/2009 05:46,ML,R,6,F,GRETI,E985071,,17.4,72,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
42511,20051w23,,w23,SP4608,24/05/2005 10:00,AG,N,5,F,GRETI,E985073,,17.5,74,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
49825,20061w19,,W19,SP4608,29/05/2006 14:00,AGG,R,6,F,GRETI,E985073,,17.9,75,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
58501,20071w20,,W20,SP4608,17/05/2007 13:55,ML,R,6,F,GRETI,E985073,9e1290,17.9,72.5,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
259241,20081W20,,W20,,17/05/2008 21:00,Sandra Bouwhuis,R,6,F,GRETI,E985073,,,,,,,,,,,,,,,,,,WO_adult_table.csv,,,,,,1,,,
66998,,,W20,SP4608,19/05/2008 00:00,SB,R,6,F,GRETI,E985073,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
76949,20091mp38,,MP38,SP4608,11/05/2009 11:00,EC,R,5,M,GRETI,F464553,,19.3,76.5,19.7,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
87254,,,MP,SP4608,13/02/2010 00:00,EC,R,6,M,GRETI,F464553,,,79,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
89904,20101mp42,,MP42,SP4608,22/05/2010 07:00,EC,R,6,M,GRETI,F464553,,19.1,78,23.7,M,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
85294,,,W,SP4608,08/10/2009 14:20,JQ,N,3,F,GRETI,F464559,,18.5,72,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
88789,20101w27,,W27,SP4608,19/05/2010 10:00,LK,R,5,F,GRETI,F464559,ecfbb5,18.6,72,22,M,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv, WO_adult_table.csv",,,,,1,,,,
107458,20111w25,,W25,SP4608,15/05/2011 13:00,LRK,R,6,F,GRETI,F464559,2a006db128,17.8,75,22.3,M,13.7,S,4.2,D,N,,Y,N,,,0416ecfb5 removed,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
119808,20121w23,,W23,SP4608,28/04/2012 00:00,,O,4,F,GRETI,F464559,2A006DB128,,,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,,,,,
121633,20121w23,,W23,SP4608,21/05/2012 00:00,,O,4,F,GRETI,F464559,2A006DB128,,,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,,,,,
127734,,,LOG 2E,SP4608,22/10/2012 10:00,AC,R,4,F,GRETI,F464559,2a006db128,17.7,76,21.1,M,,,,,N,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55079,,,O28,SP4608,04/02/2007 00:00,JEC,N,4,F,GRETI,F952444,,,,,,,,,,,,,,,,age correction,,CAM_94-2013_IMPR.csv,,,,,,,,,
55154,,,O210,SP4608,13/02/2007 00:00,JQ,R,4,F,GRETI,F952444,,19,74,,,,,,,,,,,,,age correction,,CAM_94-2013_IMPR.csv,,,,,,,,,
55240,,,O236,SP4608,16/02/2007 00:00,SB,R,4,,GRETI,F952444,,17,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55051,,,O28,SP4608,04/02/2007 00:00,SB,N,6,M,GRETI,F952447,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
58544,20071o4,,O4,SP4608,17/05/2007 07:00,MS,R,6,M,GRETI,F952447,a4e787,19.5,75.5,19.5,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
40434,20051c130,,c130,SP4608,16/05/2005 12:00,RMC,N,5,F,GRETI,F952460,,18.9,73,24,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
47340,,,,SP4608,03/03/2006 00:00,SB,R,6,F,GRETI,F952460,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
49831,20061c129,,C129,SP4608,29/05/2006 13:00,RMC,R,6,F,GRETI,F952460,,18.7,72,23.2,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
56444,20071c122,,C122,SP4608,11/05/2007 10:00,RMC,R,6,F,GRETI,F952460,9e3537,18.7,71.5,24,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
32210,,,CH/RC,SP4608,07/02/2004 00:00,,N,5,F,GRETI,F952941,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
256270,20041P12,,P12,,24/05/2004 07:00,robin,R,5,F,GRETI,F952941,,17.6,75,,,,,,,,,,,,,,,sobseall_long_term_data.csv,,,,,1,1,,,
42484,20051p13,,p13,SP4608,24/05/2005 06:00,,R,6,F,GRETI,F952941,,18,73,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
49304,20061p1,,P1,SP4608,28/05/2006 07:00,JQ,R,6,F,GRETI,F952941,,17.8,71,19.7,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
22420,20021c159,,c,SP4608,14/05/2002 00:00,RHM,N,6,F,GRETI,H300052,,18.4,74,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv",,,,1,1,,,,
85943,,,CH,SP4608,11/11/2009 08:35,AGG,R,3,M,GRETI,H300073,,19.1,76,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
86505,,,CH,SP4608,17/12/2009 10:59,AGG,R,3,M,GRETI,H300073,,19.9,75,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38467,,,CH,SP4608,22/01/2005 09:00,SP,N,5,F,GRETI,H300660,,17.3,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
39037,,,CH,SP4608,05/03/2005 09:00,KSJ,R,5,F,GRETI,H300660,,17,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
45872,,,CH,SP4608,23/11/2005 10:00,SK,R,4,F,GRETI,H300660,,17.7,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
46255,,,RC,SP4608,14/12/2005 12:00,MS,R,4,F,GRETI,H300660,,17.3,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
46422,,,CH,SP4608,18/01/2006 00:00,CC,R,6,F,GRETI,H300660,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55714,,,CH,SP4608,07/03/2007 00:00,AH,R,6,F,GRETI,H300660,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
60168,20071ex38,,EX38,SP4608,19/05/2007 08:34,ML,R,6,F,GRETI,H300660,4e18b2,18.4,71,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
69722,20081ex38,,EX38,SP4608,26/05/2008 06:45,ML,R,6,F,GRETI,H300660,,18.6,72,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
75256,,,CH,SP4608,12/11/2008 09:46,AL,R,4,F,GRETI,H300660,,17.5,74.5,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
38486,,,CH,SP4608,22/01/2005 10:00,BB,N,5,F,GRETI,H300669,,16,74,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
42151,20051o14,,o14,SP4608,23/05/2005 07:00,,R,5,F,GRETI,H300669,,17,74,20.1,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
45949,,,SW46,SP4608,05/12/2005 10:00,JQ,N,3,M,GRETI,H301159,,17,77,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
56812,20071sw35,,SW35,SP4608,13/05/2007 17:00,MS,R,6,M,GRETI,H301159,a4e1ec,18,79,20.8,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
46302,,,,SP4608,11/01/2006 00:00,JQ,N,5,M,GRETI,H301196,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
48338,20061ex84,,EX84,SP4608,24/05/2006 13:00,AGG,R,5,M,GRETI,H301196,,18.3,75,,,,,,,,0,,,0,0ogc,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
54292,,,CH,SP4608,30/11/2006 00:00,AH,N,3,F,GRETI,J644840,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55000,,,CH,SP4608,31/01/2007 00:00,SB,R,5,F,GRETI,J644840,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55335,,,CH,SP4608,21/02/2007 00:00,SE,R,5,F,GRETI,J644840,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55482,,,CH,SP4608,01/03/2007 00:00,SB,R,5,F,GRETI,J644840,,,,,,,,,,,,,,,,MISREAD RING,,CAM_94-2013_IMPR.csv,,,,,,,,,
55706,,,CH,SP4608,07/03/2007 00:00,JRC,R,5,F,GRETI,J644840,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
58155,20071ex33,,EX33,SP4608,16/05/2007 09:16,ML,R,5,F,GRETI,J644840,a4faab,18.5,72,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
54239,,,CH,SP4608,30/11/2006 00:00,SB,N,3,F,GRETI,J644841,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
54980,,,CH,SP4608,31/01/2007 00:00,ML,R,5,F,GRETI,J644841,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55604,,,C39,SP4608,06/03/2007 00:00,SB,R,5,F,GRETI,J644841,,17,72,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
54271,,,CH,SP4608,30/11/2006 00:00,SK,N,3,F,GRETI,J644859,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
54749,,,CH,SP4608,24/01/2007 00:00,KSJ,R,5,F,GRETI,J644859,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55702,,,CH,SP4608,07/03/2007 00:00,ML,R,5,F,GRETI,J644859,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
57985,20071ex41d,,EX41D,SP4608,16/05/2007 12:00,AGG,R,5,F,GRETI,J644859,9e290b,17.7,73,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,1,1,,,,
54759,,,CH,SP4608,24/01/2007 00:00,AH,N,5,F,GRETI,J644864,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
54997,,,CH,SP4608,31/01/2007 00:00,ML,R,5,F,GRETI,J644864,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
59151,20071ex79,,EX79,SP4608,18/05/2007 13:00,AGG,R,5,F,GRETI,J644864,9e3119,18.6,72,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
55336,,,CH,SP4608,21/02/2007 00:00,AH,N,5,M,GRETI,J644890,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55354,,,W101,SP4608,23/02/2007 00:00,,R,5,M,GRETI,J644890,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55553,,,W74,SP4608,03/03/2007 00:00,JQ,R,5,M,GRETI,J644890,,20,76,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55334,,,CH,SP4608,21/02/2007 00:00,KSJ,N,5,F,GRETI,J644891,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
55468,,,SW17,SP4608,27/02/2007 00:00,SB,R,5,F,GRETI,J644891,,17,72,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
60171,20071ex43,,EX43,SP4608,19/05/2007 14:12,ML,N,5,F,GRETI,J644902,a4fcc1,18.1,72,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,,1,,,,
77912,20091ex43,,EX43,SP4608,15/05/2009 09:34,ML,R,6,F,GRETI,J644902,,18.6,72,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
60152,20071ex12a,,EX12A,SP4608,19/05/2007 17:43,ML,N,5,F,GRETI,J644903,a4fcd4,19.4,72.5,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, sobseall_long_term_data.csv, WO_adult_table.csv",,,,1,1,,,,
65289,,,CH,SP4608,28/11/2007 00:00,KSJ,R,4,F,GRETI,J644903,,,,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
65945,,,CH,SP4608,27/02/2008 11:11,AH,R,6,F,GRETI,J644903,,18.1,73,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
76744,20091w93,,W93,SP4608,09/05/2009 08:28,ML,N,6,F,GRETI,J644935,0416ecfae6,17.5,72.5,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
76948,20091w22,,W22,SP4608,11/05/2009 10:54,ML,N,5,M,GRETI,J644937,0416ed0560,18.2,76,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
88102,20101w22,,W22,SP4608,14/05/2010 09:00,LK,R,6,M,GRETI,J644937,ed0560,18.2,77,23.1,M,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv, WO_adult_table.csv",,,,,1,,,,
99702,,,GWO,SP4608,21/11/2010 11:45,CAH,R,4,M,GRETI,J644937,2a006db7ad,20.2,79,22.5,M,12.8,S,4.8,N,Y,2,N,N,20,,0416ed0560,,CAM_94-2013_IMPR.csv,,,,,,,,,
104039,,,GWO,SP4608,15/03/2011 19:30,LRK,R,6,M,GRETI,J644937,,,,,,,,,,,,N,N,,,box 22,,CAM_94-2013_IMPR.csv,,,,,,,,,
77074,20091w57,,W57,SP4608,12/05/2009 06:24,ML,N,6,F,GRETI,J644939,0416ed80cb,16.7,70.5,,,,,,,,,,,,,,,"CAM_94-2013_IMPR.csv, WO_adult_table.csv",,,,,1,,,,
85330,,,W27,SP4608,12/10/2009 14:30,EC,R,4,M,GRETI,J644939,,20.7,79,,,,,,,,,,,,,,,CAM_94-2013_IMPR.csv,,,,,,,,,
