AreaHapMap,GWASId,RingNumber,YearOfBreeding,BroodType,NoFledged,NoRecruits,Include
Westerheide,2715,AC...83441,2001,0,0,0,1
Westerheide,2715,AC...83441,2002,0,0,0,0
Buunderkamp,2607,AC...84031,2002,0,3,0,1
Buunderkamp,1816,AC...84196,2001,0,3,0,0
Warnsborn,1644,AC...84468,2001,0,2,0,1
Westerheide,1653,AC...84470,2001,0,0,0,1
Westerheide,1682,AC...84475,2001,0,3,0,1
Westerheide,1577,AC...84476,2001,0,8,0,1
Warnsborn,1650,AC...84479,2001,0,9,1,1
Warnsborn,352,AC...84481,2001,0,5,0,1
Warnsborn,352,AC...84481,2002,0,10,3,1
Warnsborn,352,AC...84481,2003,0,0,0,1
Warnsborn,1652,AC...84484,2001,0,5,0,1
Westerheide,300,AC...84495,2001,0,5,0,1
Hoge_Veluwe,2707,AC...85436,2006,0,0,0,1
Hoge_Veluwe,2707,AC...85436,2001,0,8,0,1
Hoge_Veluwe,2707,AC...85436,2002,0,10,1,0
Hoge_Veluwe,2707,AC...85436,2004,0,9,2,1
Hoge_Veluwe,2707,AC...85436,2003,0,9,0,1
Hoge_Veluwe,2707,AC...85436,2005,0,9,1,1
Buunderkamp,1136,AC...86726,2001,0,3,0,0
Buunderkamp,1136,AC...86726,2002,0,4,0,1
Buunderkamp,1136,AC...86726,2003,0,6,0,1
Buunderkamp,1405,AC...86727,2003,0,8,0,0
Buunderkamp,1405,AC...86727,2001,0,6,0,0
Buunderkamp,1405,AC...86727,2002,0,6,0,0
Hoge_Veluwe,1478,AC...86992,2003,0,9,0,1
Hoge_Veluwe,1478,AC...86992,2004,0,9,0,1
Oosterhout,2582,AC...97075,2003,0,8,0,1
Oosterhout,2582,AC...97075,2001,0,4,1,1
Oosterhout,2582,AC...97075,2001,0,4,1,1
Oosterhout,2582,AC...97075,2003,0,8,0,1
Oosterhout,2582,AC...97075,2002,0,8,2,1
Oosterhout,2582,AC...97075,2002,0,8,2,1
Oosterhout,2551,AC...97201,2003,0,6,2,1
Oosterhout,2551,AC...97201,2002,1,5,0,1
Oosterhout,2551,AC...97201,2002,0,0,0,1
Oosterhout,2551,AC...97201,2002,0,0,0,1
Oosterhout,2551,AC...97201,2001,0,3,0,1
Oosterhout,2551,AC...97201,2004,0,5,0,1
Oosterhout,2551,AC...97201,2001,0,3,0,1
Oosterhout,2551,AC...97201,2004,0,5,0,1
Oosterhout,2551,AC...97201,2003,0,6,2,1
Oosterhout,2551,AC...97201,2002,1,5,0,1
Oosterhout,269,AC...97348,2000,0,4,0,1
Oosterhout,269,AC...97348,2001,0,5,0,0
Oosterhout,269,AC...97348,2000,0,4,0,1
Oosterhout,269,AC...97348,2001,0,5,0,0
Westerheide,1679,AC...97430,2004,0,7,1,1
Westerheide,1679,AC...97430,2002,0,2,0,1
Westerheide,1679,AC...97430,2001,0,4,0,1
Westerheide,1679,AC...97430,2003,0,8,0,1
Westerheide,1680,AC...97432,2001,0,5,0,1
Warnsborn,1615,AC...97438,2001,0,8,0,1
Westerheide,359,AC...97440,2002,1,7,0,1
Westerheide,359,AC...97440,2001,0,7,1,1
Westerheide,325,AC...97449,2001,0,6,0,1
Oosterhout,317,AC...97451,2001,0,8,0,0
Oosterhout,317,AC...97451,2002,2,0,0,1
Oosterhout,317,AC...97451,2002,0,9,0,1
Oosterhout,317,AC...97451,2001,0,8,0,0
Oosterhout,317,AC...97451,2002,0,9,0,1
Oosterhout,317,AC...97451,2002,2,0,0,1
Oosterhout,278,AC...97456,2001,0,5,0,0
Oosterhout,278,AC...97456,2001,0,5,0,0
Oosterhout,492,AC...97477,2001,0,6,0,0
Oosterhout,492,AC...97477,2003,0,9,1,1
Oosterhout,492,AC...97477,2001,0,6,0,0
Oosterhout,492,AC...97477,2002,0,9,1,1
Oosterhout,492,AC...97477,2002,0,9,1,1
Oosterhout,492,AC...97477,2004,0,10,1,1
Oosterhout,492,AC...97477,2004,0,10,1,1
Oosterhout,492,AC...97477,2003,0,9,1,1
Oosterhout,280,AC...97520,2001,0,7,0,0
Oosterhout,280,AC...97520,2001,0,7,0,0
Oosterhout,1360,AC...97528,2002,0,7,0,1
Oosterhout,1360,AC...97528,2001,0,0,0,0
Oosterhout,1360,AC...97528,2004,0,9,0,1
Oosterhout,1360,AC...97528,2001,1,7,0,1
Oosterhout,1360,AC...97528,2003,0,4,0,1
Oosterhout,1360,AC...97528,2001,0,0,0,0
Oosterhout,1360,AC...97528,2002,0,7,0,1
Oosterhout,1360,AC...97528,2001,1,7,0,1
Oosterhout,1360,AC...97528,2004,0,9,0,1
Oosterhout,1360,AC...97528,2003,0,4,0,1
Oosterhout,1360,AC...97528,2005,0,10,3,0
Oosterhout,1360,AC...97528,2005,0,10,3,0
Oosterhout,327,AC...97545,2001,0,8,0,0
Oosterhout,327,AC...97545,2001,0,8,0,0
Oosterhout,1344,AC...97554,2001,0,3,0,1
Oosterhout,1344,AC...97554,2004,0,10,0,1
Oosterhout,1344,AC...97554,2004,0,10,0,1
Oosterhout,1344,AC...97554,2005,0,10,0,1
Oosterhout,1344,AC...97554,2005,0,10,0,1
Oosterhout,1344,AC...97554,2003,0,10,0,1
Oosterhout,1344,AC...97554,2001,0,3,0,1
Oosterhout,1344,AC...97554,2003,0,10,0,1
Oosterhout,2599,AC...97592,2002,0,8,0,1
Oosterhout,2599,AC...97592,2005,0,9,1,0
Oosterhout,2599,AC...97592,2005,0,9,1,0
Oosterhout,2599,AC...97592,2008,0,1,0,1
Oosterhout,2599,AC...97592,2003,0,0,0,1
Oosterhout,2599,AC...97592,2007,0,3,0,1
Oosterhout,2599,AC...97592,2003,0,0,0,1
Oosterhout,2599,AC...97592,2002,0,8,0,1
Oosterhout,2599,AC...97592,2007,2,5,1,1
Oosterhout,2599,AC...97592,2007,0,3,0,1
Oosterhout,2599,AC...97592,2006,0,6,0,1
Oosterhout,2599,AC...97592,2007,2,5,1,1
Oosterhout,2599,AC...97592,2008,0,1,0,1
Oosterhout,2599,AC...97592,2006,0,6,0,1
Oosterhout,2562,AC...97806,2003,0,7,1,1
Oosterhout,2562,AC...97806,2004,0,7,2,1
Oosterhout,2562,AC...97806,2004,0,7,2,1
Oosterhout,2562,AC...97806,2003,0,7,1,1
Oosterhout,2562,AC...97806,2005,0,7,0,1
Oosterhout,2562,AC...97806,2005,0,7,0,1
Oosterhout,2562,AC...97806,2002,0,7,2,1
Oosterhout,2562,AC...97806,2002,0,7,2,1
Oosterhout,1343,AC...97848,2002,0,10,2,1
Oosterhout,1343,AC...97848,2003,0,8,0,1
Oosterhout,1343,AC...97848,2003,0,8,0,1
Oosterhout,1343,AC...97848,2001,0,10,0,0
Oosterhout,1343,AC...97848,2002,0,10,2,1
Oosterhout,1343,AC...97848,2001,0,10,0,0
Warnsborn,2618,AD...01050,2001,0,9,0,1
Westerheide,3053,AD...01057,2001,0,0,0,0
Westerheide,3053,AD...01057,2001,1,0,0,0
Westerheide,2566,AD...01164,2001,0,0,0,1
Westerheide,362,AD...01197,2001,1,0,0,1
Westerheide,362,AD...01197,2002,0,0,0,0
Westerheide,362,AD...01197,2002,1,9,1,1
Westerheide,362,AD...01197,2001,0,0,0,0
Westerheide,2596,AD...01369,2001,1,0,0,0
Westerheide,2596,AD...01369,2001,0,0,0,0
Hoge_Veluwe,2668,AD...01377,2002,0,8,1,1
Hoge_Veluwe,2668,AD...01377,2001,0,7,0,1
Westerheide,2646,AD...01439,2001,0,6,0,1
Westerheide,2690,AD...01588,2001,0,7,0,1
Westerheide,1766,AD...01765,2001,0,1,0,1
Warnsborn,1725,AD...01766,2001,0,5,0,1
Westerheide,292,AD...01780,2001,0,4,0,1
Westerheide,364,AD...01781,2001,0,0,0,1
Westerheide,364,AD...01781,2002,0,9,0,1
Westerheide,364,AD...01781,2001,1,0,0,1
Westerheide,270,AD...01782,2001,0,6,0,1
Westerheide,1699,AD...01784,2001,1,4,0,0
Westerheide,1699,AD...01784,2001,0,0,0,0
Westerheide,312,AD...01806,2001,1,0,0,0
Westerheide,312,AD...01806,2001,0,0,0,0
Westerheide,271,AD...01816,2001,0,7,0,1
Westerheide,328,AD...01828,2002,0,0,0,0
Westerheide,299,AD...01872,2001,0,7,1,1
Westerheide,284,AD...01906,2001,0,6,0,1
Westerheide,276,AD...01923,2001,0,0,0,1
Westerheide,276,AD...01923,2001,1,4,0,1
Warnsborn,321,AD...01977,2001,0,0,0,1
Warnsborn,294,AD...01978,2001,1,0,0,1
Warnsborn,294,AD...01978,2001,0,0,0,1
Westerheide,279,AD...01980,2001,0,6,0,1
Westerheide,277,AD...01987,2001,0,5,0,1
Westerheide,315,AD...01992,2001,0,7,0,1
Westerheide,489,AD...01998,2001,0,7,0,1
Westerheide,1497,AD...16800,2003,0,0,0,0
Warnsborn,1786,AD...99663,2003,0,5,2,1
Warnsborn,1786,AD...99663,2002,0,7,2,1
Warnsborn,1786,AD...99663,2001,0,6,0,1
Warnsborn,2694,AD...99801,2002,0,0,0,0
Warnsborn,1495,AD...99875,2002,0,6,2,1
Hoge_Veluwe,2695,AE...02545,2004,0,3,1,1
Hoge_Veluwe,2695,AE...02545,2002,0,2,0,0
Hoge_Veluwe,2695,AE...02545,2003,0,2,0,1
Westerheide,363,AE...13164,2001,0,6,1,1
Westerheide,363,AE...13164,2003,0,7,0,1
Westerheide,363,AE...13164,2002,0,8,0,1
Buunderkamp,2580,AE...16510,2002,0,12,1,0
Buunderkamp,2580,AE...16510,2003,0,8,0,0
Buunderkamp,2574,AE...16572,2003,0,7,0,0
Buunderkamp,1223,AE...17035,2001,0,0,0,0
Buunderkamp,1223,AE...17035,2002,0,0,0,0
Buunderkamp,1346,AE...17056,2003,0,5,0,0
Buunderkamp,1346,AE...17056,2002,0,10,0,0
Buunderkamp,1555,AE...17170,2002,0,10,0,0
Buunderkamp,1612,AE...17185,2002,0,9,0,1
Buunderkamp,355,AE...17203,2003,0,9,0,0
Buunderkamp,355,AE...17203,2002,0,8,0,0
Buunderkamp,356,AE...17240,2002,0,5,0,0
Buunderkamp,2527,AE...17590,2004,0,8,1,1
Buunderkamp,2527,AE...17590,2005,0,6,2,1
Buunderkamp,2527,AE...17590,2003,0,0,0,1
Buunderkamp,2527,AE...17590,2007,0,6,0,1
Buunderkamp,2527,AE...17590,2006,0,1,0,1
Hoge_Veluwe,2591,AE...17980,2005,0,5,0,1
Hoge_Veluwe,2591,AE...17980,2004,0,7,1,1
Westerheide,1486,AE...18061,2004,0,7,0,1
Westerheide,1486,AE...18061,2002,6,4,1,1
Warnsborn,1345,AE...18067,2004,0,0,0,1
Warnsborn,1345,AE...18067,2003,0,6,0,1
Warnsborn,1655,AE...18107,2002,0,8,0,1
Westerheide,1788,AE...18140,2003,0,9,0,1
Westerheide,1788,AE...18140,2004,0,6,2,1
Westerheide,1788,AE...18140,2005,0,6,0,1
Westerheide,1788,AE...18140,2002,0,9,0,1
Westerheide,1348,AE...18210,2002,0,4,0,1
Westerheide,1348,AE...18210,2003,0,7,0,1
Westerheide,2583,AE...18243,2003,0,0,0,1
Westerheide,1484,AE...18263,2002,0,0,0,0
Westerheide,1484,AE...18263,2003,0,6,0,1
Westerheide,1684,AE...18285,2002,0,7,1,1
Westerheide,1684,AE...18285,2003,0,7,0,1
Westerheide,1685,AE...18294,2002,0,7,0,1
Warnsborn,2688,AE...18332,2005,0,0,0,1
Westerheide,1502,AE...18349,2003,0,8,0,1
Westerheide,1502,AE...18349,2002,0,7,0,1
Westerheide,1694,AE...18356,2002,0,4,1,1
Westerheide,1676,AE...18366,2002,0,8,0,1
Westerheide,2529,AE...18797,2003,0,0,0,1
Westerheide,2669,AE...18932,2003,0,5,0,1
Warnsborn,1316,AE...18950,2002,0,4,0,1
Warnsborn,1316,AE...18950,2003,0,8,0,0
Hoge_Veluwe,2619,AE...27122,2003,0,9,0,1
Hoge_Veluwe,2619,AE...27122,2004,0,3,2,1
Hoge_Veluwe,2589,AE...27161,2004,0,6,0,1
Hoge_Veluwe,2589,AE...27161,2003,0,4,0,1
Hoge_Veluwe,2589,AE...27161,2005,0,6,0,1
Hoge_Veluwe,2682,AE...27171,2003,0,7,2,1
Hoge_Veluwe,2682,AE...27171,2004,0,8,2,1
Hoge_Veluwe,2681,AE...27175,2003,0,7,0,1
Hoge_Veluwe,2681,AE...27175,2004,0,9,2,1
Hoge_Veluwe,2683,AE...27184,2003,0,7,0,1
Hoge_Veluwe,2683,AE...27184,2004,0,8,2,1
Hoge_Veluwe,1427,AE...27251,2006,1,0,0,1
Hoge_Veluwe,1427,AE...27251,2006,0,0,0,1
Hoge_Veluwe,1427,AE...27251,2005,0,9,0,1
Hoge_Veluwe,1427,AE...27251,2007,0,8,0,0
Hoge_Veluwe,1427,AE...27251,2008,0,8,0,0
Hoge_Veluwe,1427,AE...27251,2003,0,10,0,1
Hoge_Veluwe,1427,AE...27251,2004,0,6,1,1
Hoge_Veluwe,1358,AE...27371,2003,0,8,0,0
Hoge_Veluwe,1358,AE...27371,2004,0,8,1,1
Hoge_Veluwe,2636,AE...27561,2005,0,0,0,0
Hoge_Veluwe,2636,AE...27561,2004,0,6,2,1
Hoge_Veluwe,2636,AE...27561,2003,0,7,1,0
Hoge_Veluwe,2636,AE...27561,2005,6,0,0,1
Hoge_Veluwe,1334,AE...27757,2004,0,5,1,1
Hoge_Veluwe,1334,AE...27757,2003,0,5,0,1
Hoge_Veluwe,1334,AE...27757,2005,0,7,1,1
Hoge_Veluwe,1416,AE...27767,2005,0,0,0,0
Hoge_Veluwe,1416,AE...27767,2004,0,6,3,1
Hoge_Veluwe,1416,AE...27767,2003,0,6,0,1
Hoge_Veluwe,1415,AE...27768,2005,0,0,0,0
Hoge_Veluwe,1415,AE...27768,2003,0,8,0,1
Hoge_Veluwe,1415,AE...27768,2004,0,10,2,1
Hoge_Veluwe,1489,AE...27771,2003,0,8,0,1
Hoge_Veluwe,1489,AE...27771,2004,1,5,1,1
Hoge_Veluwe,1489,AE...27771,2005,0,8,0,1
Hoge_Veluwe,1489,AE...27771,2004,0,0,0,1
Hoge_Veluwe,1491,AE...27774,2004,0,0,0,1
Hoge_Veluwe,1491,AE...27774,2003,0,7,0,1
Hoge_Veluwe,1491,AE...27774,2004,1,3,1,1
Hoge_Veluwe,1169,AE...27795,2005,0,9,0,1
Hoge_Veluwe,1169,AE...27795,2006,0,0,0,0
Hoge_Veluwe,1169,AE...27795,2006,1,7,2,1
Hoge_Veluwe,2708,AE...27896,2004,0,8,1,1
Hoge_Veluwe,1488,AE...97068,2004,0,7,0,1
Hoge_Veluwe,1488,AE...97068,2005,6,2,0,1
Hoge_Veluwe,1488,AE...97068,2005,0,10,0,1
Hoge_Veluwe,1490,AE...97204,2003,0,2,0,1
Hoge_Veluwe,1490,AE...97204,2004,0,3,1,1
Hoge_Veluwe,1490,AE...97204,2002,0,9,0,0
Hoge_Veluwe,404,AF...06943,2010,0,10,0,1
Hoge_Veluwe,404,AF...06943,2012,0,9,0,1
Hoge_Veluwe,404,AF...06943,2011,2,4,0,1
Oosterhout,1391,AF...07300,2002,0,8,0,1
Oosterhout,1391,AF...07300,2004,0,9,2,1
Oosterhout,1391,AF...07300,2004,0,9,2,1
Oosterhout,1391,AF...07300,2005,0,7,1,1
Oosterhout,1391,AF...07300,2003,0,8,0,1
Oosterhout,1391,AF...07300,2005,0,7,1,1
Oosterhout,1391,AF...07300,2002,0,8,0,1
Oosterhout,1391,AF...07300,2003,0,8,0,1
Oosterhout,1503,AF...07455,2003,0,7,0,1
Oosterhout,1503,AF...07455,2004,0,7,0,1
Oosterhout,1503,AF...07455,2004,0,7,0,1
Oosterhout,1503,AF...07455,2003,0,7,0,1
Oosterhout,1494,AF...07549,2003,0,2,0,1
Oosterhout,1494,AF...07549,2003,0,2,0,1
Oosterhout,1494,AF...07549,2002,0,9,0,1
Oosterhout,1494,AF...07549,2002,0,9,0,1
Oosterhout,1501,AF...07915,2002,0,7,0,1
Oosterhout,1501,AF...07915,2002,0,7,0,1
Westerheide,2716,AF...08049,2003,0,4,0,1
Warnsborn,2710,AF...08094,2003,0,6,0,1
Hoge_Veluwe,2712,AF...08519,2003,0,2,0,1
Hoge_Veluwe,2712,AF...08519,2004,0,7,1,1
Warnsborn,2717,AF...08719,2005,0,5,0,1
Warnsborn,2717,AF...08719,2008,1,0,0,0
Warnsborn,2717,AF...08719,2007,0,5,0,0
Warnsborn,2717,AF...08719,2008,0,0,0,0
Warnsborn,2717,AF...08719,2006,0,5,1,0
Warnsborn,1092,AF...08888,2005,0,7,0,1
Westerheide,2522,AF...09004,2003,0,2,0,1
Westerheide,2550,AF...09091,2003,0,0,0,0
Westerheide,2509,AF...09140,2003,0,4,0,1
Hoge_Veluwe,2530,AF...09202,2003,0,0,0,1
Westerheide,1499,AF...09221,2004,0,1,0,1
Westerheide,1499,AF...09221,2002,6,0,0,0
Westerheide,1496,AF...09306,2005,6,0,0,1
Westerheide,1496,AF...09306,2004,0,0,0,1
Westerheide,1088,AF...09329,2003,0,5,0,1
Westerheide,1600,AF...09331,2003,0,5,0,1
Westerheide,1760,AF...09344,2003,0,0,0,0
Westerheide,1601,AF...09358,2003,1,6,0,1
Westerheide,1601,AF...09358,2003,0,0,0,0
Westerheide,1764,AF...09360,2003,0,0,0,0
Westerheide,1520,AF...09362,2004,1,0,0,0
Westerheide,1520,AF...09362,2004,0,0,0,0
Warnsborn,1602,AF...09373,2003,0,6,0,1
Westerheide,1603,AF...09375,2003,0,6,0,1
Westerheide,1607,AF...09390,2003,0,3,0,1
Warnsborn,1309,AF...09407,2003,0,8,1,1
Warnsborn,1625,AF...09414,2003,0,8,0,1
Westerheide,1611,AF...09420,2003,0,9,0,1
Westerheide,1090,AF...09423,2003,0,0,0,1
Warnsborn,1201,AF...09426,2006,1,4,0,1
Warnsborn,1201,AF...09426,2007,1,0,0,0
Warnsborn,1201,AF...09426,2005,0,11,0,1
Warnsborn,1201,AF...09426,2004,0,9,2,1
Warnsborn,1201,AF...09426,2003,0,7,1,1
Warnsborn,1201,AF...09426,2006,0,6,2,0
Warnsborn,1201,AF...09426,2007,0,0,0,0
Warnsborn,1518,AF...09502,2003,0,6,0,1
Warnsborn,1518,AF...09502,2006,0,0,0,1
Warnsborn,1518,AF...09502,2004,0,9,2,1
Warnsborn,1518,AF...09502,2007,0,2,0,1
Westerheide,1512,AF...09508,2003,0,0,0,0
Westerheide,1512,AF...09508,2003,11,5,0,1
Westerheide,1511,AF...09512,2003,0,0,0,0
Westerheide,1511,AF...09512,2005,0,0,0,0
Westerheide,1511,AF...09512,2003,1,0,0,0
Westerheide,1511,AF...09512,2006,0,5,2,0
Westerheide,1511,AF...09512,2004,0,0,0,0
Westerheide,1604,AF...09529,2003,0,3,0,1
Westerheide,1576,AF...09531,2003,0,1,0,1
Warnsborn,1106,AF...09657,2007,0,0,0,0
Warnsborn,1106,AF...09657,2006,1,5,0,0
Warnsborn,1106,AF...09657,2004,0,4,0,1
Warnsborn,1106,AF...09657,2007,1,0,0,0
Warnsborn,1106,AF...09657,2005,0,4,0,1
