"","ring","date","seeds","recs","pit","yr","sp","ring.info"
"357.24","n199387","2008-08-25",18,21,"0208AA","2008","G","2007breeder"
"357.25","n199387","2008-08-26",2,2,"0208AA","2008","G","2007breeder"
"357.26","n199387","2008-09-15",23,25,"0208AA","2008","G","2007breeder"
"357.27","n199387","2008-09-16",43,45,"0208AA","2008","G","2007breeder"
"357.28","n199387","2008-10-17",6,6,"0208AA","2008","G","2007breeder"
"357.29","n199387","2008-12-05",7,7,"0208AA","2008","G","2007breeder"
"357.30","n199387","2008-12-06",12,12,"0208AA","2008","G","2007breeder"
"357.31","n199387","2008-12-22",31,33,"0208AA","2008","G","2007breeder"
"357.32","n199387","2008-12-23",9,9,"0208AA","2008","G","2007breeder"
"357.33","n199387","2008-12-24",1,1,"0208AA","2008","G","2007breeder"
"357.34","n199387","2009-01-14",5,5,"0208AA","2009","G","2007breeder"
"357.35","n199387","2009-01-15",22,22,"0208AA","2009","G","2007breeder"
"357.36","n199387","2009-01-16",5,5,"0208AA","2009","G","2007breeder"
"357.37","n199387","2009-01-21",28,28,"0208AA","2009","G","2007breeder"
"357.38","n199387","2009-01-23",1,1,"0208AA","2009","G","2007breeder"
"357.39","n199387","2009-02-13",16,17,"0208AA","2009","G","2007breeder"
"357.40","n199387","2009-02-14",13,13,"0208AA","2009","G","2007breeder"
"357.41","n199387","2009-02-15",5,6,"0208AA","2009","G","2007breeder"
"357.42","n199387","2009-02-16",1,1,"0208AA","2009","G","2007breeder"
"357.43","n199387","2009-02-25",36,39,"0208AA","2009","G","2007breeder"
"357.44","n199387","2009-03-10",43,45,"0208AA","2009","G","2007breeder"
"357.45","n199387","2009-03-11",33,34,"0208AA","2009","G","2007breeder"
"357.46","n199387","2009-03-12",1,1,"0208AA","2009","G","2007breeder"
"357.47","n199387","2009-10-08",3,3,"0208AA","2009","G","2007breeder"
"357.48","n199387","2009-12-22",4,4,"0208AA","2009","G","2007breeder"
"357.49","n199387","2009-12-23",3,3,"0208AA","2009","G","2007breeder"
"357.50","n199387","2010-02-17",17,18,"0208AA","2010","G","2007breeder"
"357.51","n199387","2010-02-18",5,5,"0208AA","2010","G","2007breeder"
"357.52","n199387","2010-02-19",1,1,"0208AA","2010","G","2007breeder"
"1043","tk27665","2007-09-12",17,17,"0208B3","2007","G","2007breeder"
"1043.1","tk27665","2007-09-14",30,30,"0208B3","2007","G","2007breeder"
"1043.2","tk27665","2007-09-15",62,64,"0208B3","2007","G","2007breeder"
"1043.3","tk27665","2007-09-16",64,64,"0208B3","2007","G","2007breeder"
"1043.4","tk27665","2007-09-17",94,96,"0208B3","2007","G","2007breeder"
"1043.5","tk27665","2007-09-18",70,72,"0208B3","2007","G","2007breeder"
"1043.6","tk27665","2007-09-19",50,56,"0208B3","2007","G","2007breeder"
"1043.7","tk27665","2007-10-29",3,3,"0208B3","2007","G","2007breeder"
"1043.8","tk27665","2007-10-30",3,4,"0208B3","2007","G","2007breeder"
"1043.9","tk27665","2007-10-31",1,1,"0208B3","2007","G","2007breeder"
"1043.10","tk27665","2007-11-08",1,1,"0208B3","2007","G","2007breeder"
"1043.11","tk27665","2007-11-10",1,1,"0208B3","2007","G","2007breeder"
"1043.12","tk27665","2007-11-23",26,29,"0208B3","2007","G","2007breeder"
"1043.13","tk27665","2007-11-25",1,1,"0208B3","2007","G","2007breeder"
"4303","r639239","2008-09-19",26,27,"020911","2008","G","2008breeder"
"4303.1","r639239","2008-10-10",9,9,"020911","2008","G","2008breeder"
"4303.2","r639239","2008-10-28",7,7,"020911","2008","G","2008breeder"
"4303.3","r639239","2008-11-12",10,10,"020911","2008","G","2008breeder"
"4303.4","r639239","2008-11-13",1,1,"020911","2008","G","2008breeder"
"4303.5","r639239","2009-01-05",1,1,"020911","2009","G","2008breeder"
"4303.6","r639239","2009-01-06",10,10,"020911","2009","G","2008breeder"
"4303.7","r639239","2009-01-26",4,4,"020911","2009","G","2008breeder"
"4303.8","r639239","2009-01-27",8,9,"020911","2009","G","2008breeder"
"4303.9","r639239","2009-02-12",8,8,"020911","2009","G","2008breeder"
"4303.10","r639239","2009-02-14",15,18,"020911","2009","G","2008breeder"
"4303.11","r639239","2009-02-15",1,1,"020911","2009","G","2008breeder"
"4303.12","r639239","2009-02-24",22,23,"020911","2009","G","2008breeder"
"4303.13","r639239","2009-02-25",3,4,"020911","2009","G","2008breeder"
"704","tb21501","2009-01-21",17,19,"0209EB","2009","G","2007breeder"
"704.1","tb21501","2009-01-22",1,1,"0209EB","2009","G","2007breeder"
"719","tb26296","2007-11-03",2,2,"020ACF","2007","G","2007breeder"
"719.1","tb26296","2007-11-26",13,14,"020ACF","2007","G","2007breeder"
"719.2","tb26296","2007-11-27",44,49,"020ACF","2007","G","2007breeder"
"719.3","tb26296","2007-11-28",6,6,"020ACF","2007","G","2007breeder"
"719.4","tb26296","2007-11-29",23,23,"020ACF","2007","G","2007breeder"
"719.5","tb26296","2007-11-30",55,58,"020ACF","2007","G","2007breeder"
"719.6","tb26296","2007-12-01",39,43,"020ACF","2007","G","2007breeder"
"719.7","tb26296","2007-12-02",41,46,"020ACF","2007","G","2007breeder"
"719.8","tb26296","2007-12-03",17,19,"020ACF","2007","G","2007breeder"
"719.9","tb26296","2007-12-04",37,42,"020ACF","2007","G","2007breeder"
"719.10","tb26296","2007-12-05",13,14,"020ACF","2007","G","2007breeder"
"719.11","tb26296","2007-12-11",25,28,"020ACF","2007","G","2007breeder"
"719.12","tb26296","2007-12-12",8,9,"020ACF","2007","G","2007breeder"
"719.13","tb26296","2008-01-04",8,8,"020ACF","2008","G","2007breeder"
"719.14","tb26296","2008-01-05",7,8,"020ACF","2008","G","2007breeder"
"719.15","tb26296","2008-01-18",24,25,"020ACF","2008","G","2007breeder"
"719.16","tb26296","2008-01-19",6,6,"020ACF","2008","G","2007breeder"
"719.17","tb26296","2008-01-21",10,10,"020ACF","2008","G","2007breeder"
"719.18","tb26296","2008-01-22",8,9,"020ACF","2008","G","2007breeder"
"719.19","tb26296","2008-02-04",15,15,"020ACF","2008","G","2007breeder"
"719.20","tb26296","2008-02-05",3,3,"020ACF","2008","G","2007breeder"
"719.21","tb26296","2008-02-06",2,3,"020ACF","2008","G","2007breeder"
"719.22","tb26296","2008-02-08",12,14,"020ACF","2008","G","2007breeder"
"719.23","tb26296","2008-02-09",1,1,"020ACF","2008","G","2007breeder"
"719.24","tb26296","2008-02-28",8,8,"020ACF","2008","G","2007breeder"
"719.25","tb26296","2008-02-29",7,7,"020ACF","2008","G","2007breeder"
"719.26","tb26296","2008-03-01",2,2,"020ACF","2008","G","2007breeder"
"719.27","tb26296","2008-03-02",1,1,"020ACF","2008","G","2007breeder"
"1187","vh99600","2007-11-15",32,33,"020B56","2007","G","2007breeder"
"1187.1","vh99600","2007-11-16",32,33,"020B56","2007","G","2007breeder"
"1187.2","vh99600","2007-11-17",2,2,"020B56","2007","G","2007breeder"
"1187.3","vh99600","2007-11-30",39,41,"020B56","2007","G","2007breeder"
"1187.4","vh99600","2007-12-01",26,28,"020B56","2007","G","2007breeder"
"1187.5","vh99600","2007-12-02",29,29,"020B56","2007","G","2007breeder"
"1187.6","vh99600","2007-12-03",16,16,"020B56","2007","G","2007breeder"
"1187.7","vh99600","2007-12-04",37,39,"020B56","2007","G","2007breeder"
"1187.8","vh99600","2007-12-05",30,31,"020B56","2007","G","2007breeder"
"1187.9","vh99600","2007-12-07",21,23,"020B56","2007","G","2007breeder"
"1187.10","vh99600","2007-12-08",27,30,"020B56","2007","G","2007breeder"
"1187.11","vh99600","2007-12-10",13,13,"020B56","2007","G","2007breeder"
"1187.12","vh99600","2007-12-11",22,23,"020B56","2007","G","2007breeder"
"1187.13","vh99600","2007-12-12",7,8,"020B56","2007","G","2007breeder"
"1187.14","vh99600","2007-12-28",13,14,"020B56","2007","G","2007breeder"
"1187.15","vh99600","2007-12-29",4,4,"020B56","2007","G","2007breeder"
"1187.16","vh99600","2008-01-11",29,30,"020B56","2008","G","2007breeder"
"1187.17","vh99600","2008-01-12",14,14,"020B56","2008","G","2007breeder"
"713","tb26121","2007-10-22",10,10,"020D30","2007","G","2007breeder"
"713.1","tb26121","2007-10-24",6,6,"020D30","2007","G","2007breeder"
"713.2","tb26121","2007-11-08",16,16,"020D30","2007","G","2007breeder"
"713.3","tb26121","2007-11-09",39,40,"020D30","2007","G","2007breeder"
"713.4","tb26121","2007-11-10",15,15,"020D30","2007","G","2007breeder"
"713.5","tb26121","2007-11-11",24,25,"020D30","2007","G","2007breeder"
"713.6","tb26121","2007-11-12",17,18,"020D30","2007","G","2007breeder"
"713.7","tb26121","2007-11-13",18,19,"020D30","2007","G","2007breeder"
"713.8","tb26121","2007-11-14",8,8,"020D30","2007","G","2007breeder"
"713.9","tb26121","2007-11-16",5,7,"020D30","2007","G","2007breeder"
"713.10","tb26121","2007-11-19",1,2,"020D30","2007","G","2007breeder"
"713.11","tb26121","2007-11-28",1,1,"020D30","2007","G","2007breeder"
"713.12","tb26121","2007-12-01",9,11,"020D30","2007","G","2007breeder"
"713.13","tb26121","2007-12-07",26,26,"020D30","2007","G","2007breeder"
"713.14","tb26121","2007-12-09",1,1,"020D30","2007","G","2007breeder"
"713.15","tb26121","2007-12-11",31,31,"020D30","2007","G","2007breeder"
"713.16","tb26121","2007-12-12",14,18,"020D30","2007","G","2007breeder"
"713.17","tb26121","2007-12-21",46,50,"020D30","2007","G","2007breeder"
"713.18","tb26121","2007-12-22",26,27,"020D30","2007","G","2007breeder"
"713.19","tb26121","2008-01-09",17,21,"020D30","2008","G","2007breeder"
"713.20","tb26121","2008-01-11",3,3,"020D30","2008","G","2007breeder"
"713.21","tb26121","2008-01-12",24,26,"020D30","2008","G","2007breeder"
"713.22","tb26121","2008-01-18",29,30,"020D30","2008","G","2007breeder"
"713.23","tb26121","2008-01-22",24,25,"020D30","2008","G","2007breeder"
"713.24","tb26121","2008-01-23",4,4,"020D30","2008","G","2007breeder"
"713.25","tb26121","2008-01-28",9,11,"020D30","2008","G","2007breeder"
"713.26","tb26121","2008-01-29",26,26,"020D30","2008","G","2007breeder"
"713.27","tb26121","2008-01-30",5,5,"020D30","2008","G","2007breeder"
"713.28","tb26121","2008-02-01",24,24,"020D30","2008","G","2007breeder"
"713.29","tb26121","2008-02-02",25,27,"020D30","2008","G","2007breeder"
"713.30","tb26121","2008-02-08",12,14,"020D30","2008","G","2007breeder"
"713.31","tb26121","2008-02-09",9,13,"020D30","2008","G","2007breeder"
"713.32","tb26121","2008-02-11",23,24,"020D30","2008","G","2007breeder"
"713.33","tb26121","2008-02-12",25,28,"020D30","2008","G","2007breeder"
"713.34","tb26121","2008-02-13",1,1,"020D30","2008","G","2007breeder"
"713.35","tb26121","2008-02-15",33,36,"020D30","2008","G","2007breeder"
"713.36","tb26121","2008-02-16",7,10,"020D30","2008","G","2007breeder"
"713.37","tb26121","2008-02-18",16,17,"020D30","2008","G","2007breeder"
"713.38","tb26121","2008-02-19",46,48,"020D30","2008","G","2007breeder"
"713.39","tb26121","2008-02-28",4,4,"020D30","2008","G","2007breeder"
"1046","tk27697","2007-11-16",5,5,"020F0B","2007","G","2007breeder"
"1046.1","tk27697","2007-11-17",6,8,"020F0B","2007","G","2007breeder"
"1046.2","tk27697","2007-11-18",1,1,"020F0B","2007","G","2007breeder"
"1046.3","tk27697","2007-11-22",3,3,"020F0B","2007","G","2007breeder"
"1046.4","tk27697","2007-11-28",5,6,"020F0B","2007","G","2007breeder"
"1046.5","tk27697","2008-01-03",1,1,"020F0B","2008","G","2007breeder"
"1046.6","tk27697","2008-01-04",12,12,"020F0B","2008","G","2007breeder"
"1046.7","tk27697","2008-01-05",12,13,"020F0B","2008","G","2007breeder"
"1046.8","tk27697","2008-01-06",2,2,"020F0B","2008","G","2007breeder"
"1046.9","tk27697","2008-01-18",26,26,"020F0B","2008","G","2007breeder"
"1046.10","tk27697","2008-01-19",12,12,"020F0B","2008","G","2007breeder"
"1046.11","tk27697","2008-01-20",1,1,"020F0B","2008","G","2007breeder"
"1046.12","tk27697","2008-01-21",1,1,"020F0B","2008","G","2007breeder"
"1046.13","tk27697","2008-01-22",26,28,"020F0B","2008","G","2007breeder"
"1046.14","tk27697","2008-01-23",2,2,"020F0B","2008","G","2007breeder"
"1046.15","tk27697","2008-02-04",3,3,"020F0B","2008","G","2007breeder"
"1046.16","tk27697","2008-02-05",23,24,"020F0B","2008","G","2007breeder"
"1046.17","tk27697","2008-02-07",2,2,"020F0B","2008","G","2007breeder"
"1046.18","tk27697","2008-02-08",33,35,"020F0B","2008","G","2007breeder"
"1046.19","tk27697","2008-02-09",8,11,"020F0B","2008","G","2007breeder"
"1046.20","tk27697","2008-02-22",11,14,"020F0B","2008","G","2007breeder"
"1046.21","tk27697","2008-02-28",25,26,"020F0B","2008","G","2007breeder"
"1046.22","tk27697","2008-02-29",22,23,"020F0B","2008","G","2007breeder"
"1046.23","tk27697","2008-03-01",9,10,"020F0B","2008","G","2007breeder"
"1046.24","tk27697","2008-03-02",1,1,"020F0B","2008","G","2007breeder"
"1046.25","tk27697","2008-09-08",29,30,"020F0B","2008","G","2007breeder"
"1046.26","tk27697","2008-09-09",23,23,"020F0B","2008","G","2007breeder"
"1046.27","tk27697","2008-09-10",7,11,"020F0B","2008","G","2007breeder"
"1046.28","tk27697","2008-09-19",25,25,"020F0B","2008","G","2007breeder"
"1046.29","tk27697","2008-09-20",7,8,"020F0B","2008","G","2007breeder"
"1046.30","tk27697","2008-09-22",7,7,"020F0B","2008","G","2007breeder"
"1046.31","tk27697","2008-09-23",4,4,"020F0B","2008","G","2007breeder"
"1046.32","tk27697","2008-10-03",6,6,"020F0B","2008","G","2007breeder"
"1046.33","tk27697","2008-10-04",1,1,"020F0B","2008","G","2007breeder"
"1046.34","tk27697","2008-10-09",1,1,"020F0B","2008","G","2007breeder"
"1046.35","tk27697","2008-10-10",5,6,"020F0B","2008","G","2007breeder"
"1046.36","tk27697","2008-10-14",12,12,"020F0B","2008","G","2007breeder"
"1046.37","tk27697","2008-10-15",8,9,"020F0B","2008","G","2007breeder"
"1046.38","tk27697","2008-10-16",9,10,"020F0B","2008","G","2007breeder"
"1046.39","tk27697","2008-10-21",2,2,"020F0B","2008","G","2007breeder"
"1046.40","tk27697","2008-10-28",20,21,"020F0B","2008","G","2007breeder"
"1046.41","tk27697","2008-10-31",18,18,"020F0B","2008","G","2007breeder"
"1046.42","tk27697","2008-11-07",4,4,"020F0B","2008","G","2007breeder"
"1046.43","tk27697","2008-11-08",1,1,"020F0B","2008","G","2007breeder"
"1046.44","tk27697","2008-11-20",7,7,"020F0B","2008","G","2007breeder"
"1046.45","tk27697","2008-11-21",2,2,"020F0B","2008","G","2007breeder"
"1046.46","tk27697","2008-11-22",3,3,"020F0B","2008","G","2007breeder"
"1046.47","tk27697","2008-12-05",6,6,"020F0B","2008","G","2007breeder"
"1046.48","tk27697","2008-12-06",1,1,"020F0B","2008","G","2007breeder"
"1046.49","tk27697","2008-12-19",9,9,"020F0B","2008","G","2007breeder"
"1046.50","tk27697","2008-12-20",7,7,"020F0B","2008","G","2007breeder"
"1046.51","tk27697","2009-01-10",9,9,"020F0B","2009","G","2007breeder"
"1046.52","tk27697","2009-01-11",9,9,"020F0B","2009","G","2007breeder"
"1046.53","tk27697","2009-01-12",1,1,"020F0B","2009","G","2007breeder"
"1046.54","tk27697","2009-01-21",5,6,"020F0B","2009","G","2007breeder"
"1046.55","tk27697","2009-01-24",25,27,"020F0B","2009","G","2007breeder"
"1046.56","tk27697","2009-01-25",20,24,"020F0B","2009","G","2007breeder"
"1046.57","tk27697","2009-01-26",15,17,"020F0B","2009","G","2007breeder"
"1046.58","tk27697","2009-01-27",13,13,"020F0B","2009","G","2007breeder"
"1046.59","tk27697","2009-01-30",6,6,"020F0B","2009","G","2007breeder"
"1046.60","tk27697","2009-02-04",19,21,"020F0B","2009","G","2007breeder"
"1046.61","tk27697","2009-02-05",19,19,"020F0B","2009","G","2007breeder"
"1046.62","tk27697","2009-02-08",1,1,"020F0B","2009","G","2007breeder"
"1046.63","tk27697","2009-02-27",4,5,"020F0B","2009","G","2007breeder"
"1046.64","tk27697","2009-02-28",1,1,"020F0B","2009","G","2007breeder"
"1046.65","tk27697","2009-03-01",5,5,"020F0B","2009","G","2007breeder"
"1046.66","tk27697","2009-03-02",1,1,"020F0B","2009","G","2007breeder"
"1046.67","tk27697","2009-11-11",3,3,"020F0B","2009","G","2007breeder"
"1046.68","tk27697","2009-11-12",17,17,"020F0B","2009","G","2007breeder"
"1046.69","tk27697","2009-11-14",15,21,"020F0B","2009","G","2007breeder"
"1046.70","tk27697","2009-12-03",21,24,"020F0B","2009","G","2007breeder"
"1046.71","tk27697","2009-12-04",26,26,"020F0B","2009","G","2007breeder"
"1046.72","tk27697","2009-12-05",1,1,"020F0B","2009","G","2007breeder"
"1046.73","tk27697","2009-12-23",10,11,"020F0B","2009","G","2007breeder"
"1046.74","tk27697","2010-02-16",1,1,"020F0B","2010","G","2007breeder"
"1046.75","tk27697","2010-02-24",9,9,"020F0B","2010","G","2007breeder"
"1046.76","tk27697","2010-02-25",1,1,"020F0B","2010","G","2007breeder"
"1046.77","tk27697","2010-03-01",10,12,"020F0B","2010","G","2007breeder"
"1046.78","tk27697","2010-03-02",6,6,"020F0B","2010","G","2007breeder"
"1046.79","tk27697","2010-03-04",4,4,"020F0B","2010","G","2007breeder"
"1046.80","tk27697","2010-03-05",3,4,"020F0B","2010","G","2007breeder"
"711","tb26077","2007-11-29",8,8,"021210","2007","G","2007breeder"
"711.1","tb26077","2007-11-30",17,17,"021210","2007","G","2007breeder"
"711.2","tb26077","2007-12-01",1,1,"021210","2007","G","2007breeder"
"711.3","tb26077","2007-12-21",39,40,"021210","2007","G","2007breeder"
"711.4","tb26077","2007-12-22",22,23,"021210","2007","G","2007breeder"
"711.5","tb26077","2008-01-08",17,17,"021210","2008","G","2007breeder"
"711.6","tb26077","2008-01-09",1,1,"021210","2008","G","2007breeder"
"711.7","tb26077","2008-02-16",1,1,"021210","2008","G","2007breeder"
"711.8","tb26077","2008-02-23",2,2,"021210","2008","G","2007breeder"
"711.9","tb26077","2008-08-24",20,20,"021210","2008","G","2007breeder"
"711.10","tb26077","2008-08-25",13,14,"021210","2008","G","2007breeder"
"711.11","tb26077","2008-08-26",1,1,"021210","2008","G","2007breeder"
"711.12","tb26077","2008-09-15",3,3,"021210","2008","G","2007breeder"
"711.13","tb26077","2008-09-16",11,11,"021210","2008","G","2007breeder"
"711.14","tb26077","2008-09-17",2,2,"021210","2008","G","2007breeder"
"711.15","tb26077","2008-10-03",5,6,"021210","2008","G","2007breeder"
"711.16","tb26077","2008-10-16",3,3,"021210","2008","G","2007breeder"
"711.17","tb26077","2008-10-28",11,11,"021210","2008","G","2007breeder"
"711.18","tb26077","2008-12-05",2,2,"021210","2008","G","2007breeder"
"711.19","tb26077","2009-02-15",15,17,"021210","2009","G","2007breeder"
"711.20","tb26077","2009-02-25",20,20,"021210","2009","G","2007breeder"
"711.21","tb26077","2009-02-26",1,1,"021210","2009","G","2007breeder"
"711.22","tb26077","2009-03-09",21,21,"021210","2009","G","2007breeder"
"711.23","tb26077","2009-03-10",31,32,"021210","2009","G","2007breeder"
"711.24","tb26077","2009-03-11",17,19,"021210","2009","G","2007breeder"
"582","t550075","2007-09-25",42,43,"021370","2007","G","2007breeder"
"582.1","t550075","2007-09-26",21,22,"021370","2007","G","2007breeder"
"582.2","t550075","2007-10-17",15,16,"021370","2007","G","2007breeder"
"582.3","t550075","2007-10-18",11,12,"021370","2007","G","2007breeder"
"582.4","t550075","2007-10-19",21,23,"021370","2007","G","2007breeder"
"582.5","t550075","2007-10-20",1,1,"021370","2007","G","2007breeder"
"582.6","t550075","2007-10-21",1,1,"021370","2007","G","2007breeder"
"582.7","t550075","2007-11-29",25,26,"021370","2007","G","2007breeder"
"582.8","t550075","2007-11-30",24,25,"021370","2007","G","2007breeder"
"582.9","t550075","2007-12-01",10,10,"021370","2007","G","2007breeder"
"582.10","t550075","2007-12-02",1,1,"021370","2007","G","2007breeder"
"582.11","t550075","2007-12-03",1,1,"021370","2007","G","2007breeder"
"582.12","t550075","2007-12-06",18,18,"021370","2007","G","2007breeder"
"582.13","t550075","2007-12-07",38,41,"021370","2007","G","2007breeder"
"582.14","t550075","2007-12-08",45,45,"021370","2007","G","2007breeder"
"582.15","t550075","2007-12-09",1,1,"021370","2007","G","2007breeder"
"582.16","t550075","2007-12-10",1,1,"021370","2007","G","2007breeder"
"582.17","t550075","2007-12-20",2,2,"021370","2007","G","2007breeder"
"582.18","t550075","2007-12-21",52,55,"021370","2007","G","2007breeder"
"582.19","t550075","2007-12-22",27,29,"021370","2007","G","2007breeder"
"582.20","t550075","2007-12-26",1,1,"021370","2007","G","2007breeder"
"582.21","t550075","2008-01-07",34,34,"021370","2008","G","2007breeder"
"582.22","t550075","2008-01-08",28,29,"021370","2008","G","2007breeder"
"582.23","t550075","2008-01-09",17,17,"021370","2008","G","2007breeder"
"582.24","t550075","2008-02-01",29,29,"021370","2008","G","2007breeder"
"582.25","t550075","2008-02-02",13,14,"021370","2008","G","2007breeder"
"582.26","t550075","2008-02-03",15,16,"021370","2008","G","2007breeder"
"582.27","t550075","2008-02-04",2,2,"021370","2008","G","2007breeder"
"582.28","t550075","2008-02-14",2,2,"021370","2008","G","2007breeder"
"582.29","t550075","2008-02-15",30,32,"021370","2008","G","2007breeder"
"582.30","t550075","2008-02-16",11,12,"021370","2008","G","2007breeder"
"582.31","t550075","2008-02-21",44,45,"021370","2008","G","2007breeder"
"582.32","t550075","2008-02-22",37,37,"021370","2008","G","2007breeder"
"582.33","t550075","2008-02-23",5,6,"021370","2008","G","2007breeder"
"582.34","t550075","2008-02-25",1,1,"021370","2008","G","2007breeder"
"582.35","t550075","2008-08-23",23,23,"021370","2008","G","2007breeder"
"582.36","t550075","2008-08-24",24,25,"021370","2008","G","2007breeder"
"582.37","t550075","2008-08-25",12,12,"021370","2008","G","2007breeder"
"582.38","t550075","2008-08-27",1,1,"021370","2008","G","2007breeder"
"582.39","t550075","2008-09-02",8,8,"021370","2008","G","2007breeder"
"582.40","t550075","2008-09-03",30,31,"021370","2008","G","2007breeder"
"582.41","t550075","2008-09-04",12,14,"021370","2008","G","2007breeder"
"582.42","t550075","2008-09-06",1,1,"021370","2008","G","2007breeder"
"582.43","t550075","2008-09-15",30,31,"021370","2008","G","2007breeder"
"582.44","t550075","2008-09-16",19,19,"021370","2008","G","2007breeder"
"582.45","t550075","2008-10-02",18,18,"021370","2008","G","2007breeder"
"582.46","t550075","2008-10-03",20,21,"021370","2008","G","2007breeder"
"582.47","t550075","2008-10-04",1,1,"021370","2008","G","2007breeder"
"582.48","t550075","2008-10-16",21,21,"021370","2008","G","2007breeder"
"582.49","t550075","2008-10-17",27,27,"021370","2008","G","2007breeder"
"582.50","t550075","2008-10-18",1,2,"021370","2008","G","2007breeder"
"582.51","t550075","2008-11-04",12,13,"021370","2008","G","2007breeder"
"582.52","t550075","2008-11-05",7,7,"021370","2008","G","2007breeder"
"582.53","t550075","2008-11-06",12,12,"021370","2008","G","2007breeder"
"582.54","t550075","2008-12-04",7,7,"021370","2008","G","2007breeder"
"582.55","t550075","2008-12-05",35,35,"021370","2008","G","2007breeder"
"582.56","t550075","2008-12-06",24,24,"021370","2008","G","2007breeder"
"582.57","t550075","2008-12-11",5,5,"021370","2008","G","2007breeder"
"582.58","t550075","2008-12-22",30,33,"021370","2008","G","2007breeder"
"582.59","t550075","2008-12-23",14,15,"021370","2008","G","2007breeder"
"582.60","t550075","2008-12-24",1,1,"021370","2008","G","2007breeder"
"582.61","t550075","2009-01-14",28,29,"021370","2009","G","2007breeder"
"582.62","t550075","2009-01-15",11,11,"021370","2009","G","2007breeder"
"582.63","t550075","2009-01-16",2,2,"021370","2009","G","2007breeder"
"582.64","t550075","2009-01-21",17,18,"021370","2009","G","2007breeder"
"582.65","t550075","2009-01-23",1,1,"021370","2009","G","2007breeder"
"770","tc58158","2008-01-16",21,22,"0216B5","2008","G","2007breeder"
"770.1","tc58158","2008-01-17",1,2,"0216B5","2008","G","2007breeder"
"770.2","tc58158","2008-01-22",30,35,"0216B5","2008","G","2007breeder"
"770.3","tc58158","2008-01-23",16,17,"0216B5","2008","G","2007breeder"
"770.4","tc58158","2008-01-24",14,15,"0216B5","2008","G","2007breeder"
"770.5","tc58158","2008-01-28",34,37,"0216B5","2008","G","2007breeder"
"770.6","tc58158","2008-01-29",34,37,"0216B5","2008","G","2007breeder"
"770.7","tc58158","2008-01-30",9,10,"0216B5","2008","G","2007breeder"
"770.8","tc58158","2008-02-01",30,33,"0216B5","2008","G","2007breeder"
"770.9","tc58158","2008-02-02",23,25,"0216B5","2008","G","2007breeder"
